product_id,brand,product_name,category,profile_group,profile_label_ko,review_count,avg_rating,repurchase_count,repurchase_rate,photo_review_count,photo_review_rate,avg_helpful_count,profile_confidence
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_type,건성,107,4.748,14,0.1308,19,0.1776,2.449,high
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_type,지성,58,4.828,8,0.1379,7,0.1207,1.672,medium
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_type,민감성,40,4.775,4,0.1000,9,0.2250,3.000,medium
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_type,트러블성,19,4.789,3,0.1579,1,0.0526,1.053,low
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_type,중성,8,5.000,2,0.2500,1,0.1250,1.375,very_low
prod_oy_a000000005336,바이오더마,바이오더마 하이드라비오 세럼 40ml,serum,skin_type,약건성,4,4.750,1,0.2500,0,0.0000,0.000,very_low
prod_oy_a000000006014,이아소,[닥터이아소] 트리플 엠 하이드레이팅 크림,cream,skin_type,지성,2,4.500,1,0.5000,0,0.0000,0.000,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_tone,웜톤,6,5.000,0,0.0000,3,0.5000,4.500,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_tone,가을웜톤,4,5.000,0,0.0000,2,0.5000,4.500,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_tone,쿨톤,2,5.000,0,0.0000,0,0.0000,0.000,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_tone,봄웜톤,2,5.000,0,0.0000,2,1.0000,8.000,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_tone,여름쿨톤,1,4.000,0,0.0000,0,0.0000,0.000,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_tone,겨울쿨톤,1,5.000,0,0.0000,0,0.0000,0.000,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_trouble,주름,8,5.000,0,0.0000,5,0.6250,5.250,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_trouble,잡티,5,4.800,0,0.0000,0,0.0000,0.000,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_trouble,미백,5,4.800,0,0.0000,1,0.2000,1.600,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_trouble,민감성,4,5.000,0,0.0000,2,0.5000,4.750,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_trouble,각질,3,5.000,0,0.0000,1,0.3333,2.667,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_trouble,트러블,2,5.000,0,0.0000,2,1.0000,7.000,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_trouble,붉은기,1,5.000,0,0.0000,0,0.0000,0.000,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_trouble,모공,1,5.000,0,0.0000,0,0.0000,0.000,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_type,복합성,7,4.857,0,0.0000,2,0.2857,2.571,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_type,건성,4,5.000,0,0.0000,2,0.5000,4.750,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_type,민감성,2,5.000,0,0.0000,1,0.5000,4.000,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_type,지성,1,5.000,0,0.0000,0,0.0000,0.000,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_type,중성,1,5.000,0,0.0000,1,1.0000,8.000,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_type,약건성,1,5.000,0,0.0000,0,0.0000,0.000,very_low
prod_oy_a000000007088,불독,불독 오리지널 모이스처라이저 100ml,cream,skin_type,트러블성,1,5.000,0,0.0000,1,1.0000,8.000,very_low
prod_oy_a000000010471,라로슈포제,라로슈포제 에빠끌라 MAT 세보 컨트롤링 모이스춰라이저,cream,skin_tone,쿨톤,12,4.583,2,0.1667,3,0.2500,2.417,low
