source_ingredient_id,source_ingredient_name,canonical_id,mapping_type,confidence,source
ing_pending_0228b54dcb71,,ethoxydiglycol,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=2098 sha256=4a523f990553
ing_pending_02bab09fbe28,,ascorbyl_glucoside,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=1722 sha256=4a523f990553
ing_pending_040fc9a3564b,,lactitol,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=5452 sha256=4a523f990553
ing_pending_04526c968625,,coleus_forskohlii_root_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=3659 sha256=4a523f990553
ing_pending_0476c159ad7e,,magnesium_chloride,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=59 sha256=4a523f990553
ing_pending_0481e9205b72,,sodium_polyglutamate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=8664 sha256=4a523f990553
ing_pending_04c695db8237,,centella_asiatica_leaf_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=539 sha256=4a523f990553
ing_pending_04d5b452c1bb,,soluble_collagen,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=1350 sha256=4a523f990553
ing_pending_04e3141c58bb,,scutellaria_baicalensis_root_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=4965 sha256=4a523f990553
ing_pending_054be79988d4,,sodium_lauroyl_lactylate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=1070 sha256=4a523f990553
ing_pending_05e4bb55702a,,tuber_melanosporum_extract,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=856 sha256=4a523f990553
ing_pending_0614d02014cf,,pantolactone,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=6005 sha256=4a523f990553
ing_pending_06166ecf5463,,rosa_canina_fruit_oil,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=5521 sha256=4a523f990553
ing_pending_0639f70e4a7e,,sorbitan_sesquioleate,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=1286 sha256=4a523f990553
ing_pending_068d31809229,,rosmarinus_officinalis_rosemary_leaf_oil,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=5512 sha256=4a523f990553
ing_pending_0710526574d1,,lauroyl_lysine,official_exact,high,KCIA 표준화명칭목록 2026-06-30 code=5363 sha256=4a523f990553
