product_id,dry_fit,oily_fit,combination_fit,normal_fit,dehydrated_oily_fit,sensitive_fit,sensitivity_tag,confidence,reason
dermstore_70f66432c018e9,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_9354aeb0921a1c,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_67c0c1ee8b688b,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_26f4bb78d48a99,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_3ab388a118ba80,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
dermstore_8fdde5ccc14423,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_f031576372d04c,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_b03f2d244f8df0,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_b2370fc107dc03,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_998cb4b1c3a091,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_390c040eea8811,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_d0d4933b6e1ed1,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_b79cbd9e56e254,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_1a0d325798f9ed,0.58,0.76,0.72,0.62,0.58,0.47,정보없음,low,피지/트러블 키워드; 기본추천 제외 상품
dermstore_b14a481e521d25,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_591330fd1d35be,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_467f23d1c22871,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_185bd6ef2c3bbf,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_b0d90b3269ebb6,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형
dermstore_17855d5353991f,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_829a636f00f4f1,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_c0e6075f52ee73,0.64,0.58,0.60,0.62,0.66,0.77,정보없음,low,진정/민감 키워드; 기본추천 제외 상품
dermstore_abcfccfd4a36f6,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_0ad07ffedd1d87,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
dermstore_643d5e1842ede4,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_aaac29f00d5848,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_c53750c489ab3e,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_772e69f84f6b38,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_732f6be9e9da25,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_998aa2317446e7,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_ccb4703e3717f8,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_2ae4f8b3fdacf7,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_827de860779931,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_b2d246583608f9,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_9ce921c0980fe4,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_0aae98fc49a7c7,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_3150ce15ff0e79,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_91a3099b28c9ca,0.64,0.58,0.60,0.62,0.66,0.77,민감가능,low,진정/민감 키워드
dermstore_0d806daaf4ed82,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_86889801e4cbf9,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_6a3e1cfbb9bcf0,0.58,0.84,0.82,0.62,0.70,0.47,정보없음,low,가벼운 수분 제형; 피지/트러블 키워드; 기본추천 제외 상품
dermstore_66453828bea3e6,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_f99bae61c22ddf,0.78,0.66,0.70,0.70,0.92,0.55,정보없음,low,보습/장벽 컨셉; 가벼운 수분 제형; 기본추천 제외 상품
dermstore_921ed6cb18ccac,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_54f2c9f9ecc916,0.74,0.56,0.65,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 오일/밤 제형; 기본추천 제외 상품
dermstore_89b82cb35446df,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형
dermstore_2331fc9de77dfb,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_6f6fb903f1010c,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_803ce1260b62a7,0.64,0.58,0.60,0.62,0.66,0.77,정보없음,low,진정/민감 키워드; 기본추천 제외 상품
dermstore_bb68a0a2f56286,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_ef6c4ac9306f43,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_05b06c871ccc9f,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_0159ebfcf05661,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_7d60b8163ff5e1,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_f9154f8543b875,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
dermstore_6cde88f86ddbcb,0.74,0.56,0.65,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 오일/밤 제형; 기본추천 제외 상품
dermstore_7ce417c75c9ed2,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_07481427e832ba,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_eddd37a5521838,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_30f4250ac7a737,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_aedf4bc4c98664,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형
dermstore_b1972eae80c956,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_f6a005ca42b63c,0.84,0.58,0.60,0.70,0.88,0.77,정보없음,low,보습/장벽 컨셉; 진정/민감 키워드; 기본추천 제외 상품
dermstore_c80bbfd25ac58c,0.74,0.48,0.55,0.62,0.58,0.55,정보없음,low,오일/밤 제형; 기본추천 제외 상품
dermstore_7c4d02cd2689a3,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_bdc0069675b838,0.84,0.66,0.70,0.70,1.00,0.77,민감가능,low,보습/장벽 컨셉; 가벼운 수분 제형; 진정/민감 키워드
dermstore_8baa19a5672629,0.58,0.84,0.82,0.62,0.70,0.47,정보없음,low,가벼운 수분 제형; 피지/트러블 키워드
dermstore_b6dfaf8ba8e57a,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_9866d28db17aed,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_1b7374a630b642,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_e9ced41af57801,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_7cea2b391af20f,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
dermstore_a918999500ac1b,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_e108770ffce69f,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_20704957e8a3af,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
dermstore_bbd5ba535a1bf4,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_32bbdffc872bd5,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_233a0aadca524c,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_c2418f566dcad2,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_9bb07f0dd7668c,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
dermstore_039598b4453aa3,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_31dd8bee28bdc6,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_7efa58421b6262,0.78,0.66,0.70,0.70,0.92,0.55,정보없음,low,보습/장벽 컨셉; 가벼운 수분 제형; 기본추천 제외 상품
dermstore_fb54623a5a344e,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_c814ff007b9246,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형; 기본추천 제외 상품
dermstore_b55a6125b78f99,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_aa21dfda70b2bf,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_7df3bb95430444,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형
dermstore_862bd35d066df8,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_141754c8ba49fe,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_53224e89c4141d,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_4906c5b49bb1d9,0.64,0.58,0.60,0.62,0.66,0.77,정보없음,low,진정/민감 키워드; 기본추천 제외 상품
dermstore_22c8d82dcface2,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
dermstore_56089eb476d657,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_b8df843f685ef9,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_d8654c6be1d098,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형; 기본추천 제외 상품
dermstore_68471383071ecf,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_30d454185817ec,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_86f35ec123e522,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_24fcfaa9d02bfe,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_a26433518a34de,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
dermstore_4b9be8ccb74437,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_3f5a9de136590c,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
dermstore_ebf293a31f8bda,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_90f361050ff7db,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_30245516b8f350,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_169c29f01fde14,0.78,0.66,0.70,0.70,0.92,0.55,정보없음,low,보습/장벽 컨셉; 가벼운 수분 제형
dermstore_ac320a721705ea,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_27807c9c4156e2,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_4bfa7f1cf3fb21,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_caa9f3fd2020db,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_a178cf92528982,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_3b3ae833f238f0,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_cda75df65b3d69,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_95c923e9ee2398,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_c4bf24bca86cc5,0.64,0.58,0.60,0.62,0.66,0.77,정보없음,low,진정/민감 키워드; 기본추천 제외 상품
dermstore_2c2959b8789528,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
dermstore_1c03c843f1a948,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_9ab155a0491c35,0.58,0.76,0.72,0.62,0.58,0.47,정보없음,low,피지/트러블 키워드; 기본추천 제외 상품
dermstore_4f00908a1250c3,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_4739b72d3b5e14,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_5001fc45d9d730,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_475eb12f622974,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
dermstore_abccc20ea64d5d,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_0c14fcc6629288,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_8b4d1aefb8d571,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_2ab2332d385f10,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
dermstore_bbb46e5d392bbd,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_015c95fb93cff9,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_157b99511e43f6,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_14cfb93c162da9,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_c83749fb10808f,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형
dermstore_1ddc36f8e168d6,0.64,0.58,0.60,0.62,0.66,0.77,민감가능,low,진정/민감 키워드
dermstore_a999cd67b63782,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_7a55f213494adf,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
dermstore_fe5849d7c77f7a,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_b937b102b1e059,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_d3f3ac122453e5,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
dermstore_8f90332576f0b7,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
dermstore_cfbd2d0601de9b,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_d1dd171428d5b0,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_d773f9d91d19bf,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_3df8be268fd847,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_dbd864397900db,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_0df72b237ef04a,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_f0b2be3cabafc0,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_1e370e85d5f8b0,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
dermstore_6b25b77a5e9ba1,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_681a7bf33a84a2,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_d6db2a699cb94a,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_58c1c93017802a,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_e45bd33e21f8a1,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_690cbc06342281,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_022fef82aa0ea2,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_abcbd5673fab59,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_23978cd4103aa6,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_75854cc7af8ce6,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_cbec8f7cbaf057,0.84,0.58,0.60,0.70,0.88,0.77,민감가능,low,보습/장벽 컨셉; 진정/민감 키워드
dermstore_0a7d2d9ae8315a,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_7508aa32da3aff,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_15d7676cc711fa,0.58,0.84,0.82,0.62,0.70,0.47,정보없음,low,가벼운 수분 제형; 피지/트러블 키워드
dermstore_900238cd7c9e8a,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_bc8a1799e056b3,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_e5dccaa343db9c,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_1268fd5104353f,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_c559efdf26f488,0.84,0.58,0.60,0.70,0.88,0.77,민감가능,low,보습/장벽 컨셉; 진정/민감 키워드
dermstore_bc89512189690c,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_1a44629d389530,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
dermstore_992fc0e3a77425,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_9b13e250bb59c2,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_be001fec253229,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_a0685685580f7e,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_37ecd80819fc71,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_a8308027ec9b4e,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_6048bfe99f488e,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_d3b24721327444,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_81aeaf10c2918f,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_c52f0888eb08f9,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_bb32cb79f7d3b8,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_b7142d730ff232,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_ac8b27d9c876c8,1.00,0.48,0.55,0.70,0.88,0.77,민감가능,low,보습/장벽 컨셉; 오일/밤 제형; 진정/민감 키워드
dermstore_b4df07acbafa2c,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_42360292bdb293,0.58,0.84,0.82,0.62,0.70,0.47,정보없음,low,가벼운 수분 제형; 피지/트러블 키워드
dermstore_408cfb508cd6dc,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_1e0f51ae9bf4d8,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_ff8663f065305a,0.64,0.58,0.60,0.62,0.66,0.77,민감가능,low,진정/민감 키워드
dermstore_e151a232eb8c8c,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_c05ca2c3c87098,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_e366e92ae48fe5,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_bb90c1ec8ab6d6,0.74,0.56,0.65,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 오일/밤 제형
dermstore_d9c4a69d849beb,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_f60cb3e970859d,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_70964e5f40fe5a,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
dermstore_e9aa630a1936dd,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_f533526b62eae5,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_aeec45e582b394,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
dermstore_d444faa507aa9e,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_fb259595a401a7,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_69778eb90e23d2,0.58,0.76,0.72,0.62,0.58,0.47,정보없음,low,피지/트러블 키워드
dermstore_5b17a9edef3fb9,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_7a8d99009b3c52,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
dermstore_89be51c2bc4d89,0.64,0.58,0.60,0.62,0.66,0.77,정보없음,low,진정/민감 키워드; 기본추천 제외 상품
dermstore_cd70d95890e794,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_0eb33cde23ac4d,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_791fd9936fe39a,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_09ddae24650b5c,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_0c0d8b7188ca33,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_655c951a9c7ef3,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_130834e2b18095,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_f3394effb1a87f,0.74,0.48,0.55,0.62,0.58,0.55,정보없음,low,오일/밤 제형; 기본추천 제외 상품
dermstore_32278359dfee95,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
dermstore_cdbee1f6568e1c,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_19c530620778b8,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
dermstore_e39ab56a55580b,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
dermstore_69d28bebf80bcd,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_1ea584d8a0d692,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_fd9c8d1d77128b,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
dermstore_68e48dd71f4a9b,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_408a5ae4cbdc57,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_36fda69128649d,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
dermstore_2f39c8a48b04d7,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
dermstore_46677f97c3c64a,0.58,0.76,0.72,0.62,0.58,0.47,정보없음,low,피지/트러블 키워드; 기본추천 제외 상품
dermstore_efa055cb432730,0.58,0.76,0.72,0.62,0.58,0.47,정보없음,low,피지/트러블 키워드; 기본추천 제외 상품
dermstore_93b7cb836203b8,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형; 기본추천 제외 상품
dermstore_34a61db805bd3a,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형
