product_id,dry_fit,oily_fit,combination_fit,normal_fit,dehydrated_oily_fit,sensitive_fit,sensitivity_tag,confidence,reason
cultbeauty_556bd6b88a531a,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_74dc70667e8295,0.58,0.76,0.72,0.62,0.58,0.47,정보없음,low,피지/트러블 키워드; 기본추천 제외 상품
cultbeauty_d2c7e8fbfd18b8,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_eba85ea4aaee93,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_554c48395bda87,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
cultbeauty_086bc5dadcb138,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_a07570a0766a87,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_6aa0e5ce7b4500,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_08fa529afb86b1,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_1c4cf182ef56f3,0.58,0.76,0.72,0.62,0.58,0.47,정보없음,low,피지/트러블 키워드; 기본추천 제외 상품
cultbeauty_d42aceab5b9afb,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_bf0d73f5af9c43,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_e9127ae7872d91,0.74,0.48,0.55,0.62,0.58,0.55,정보없음,low,오일/밤 제형; 기본추천 제외 상품
cultbeauty_693d4f422e31cb,0.64,0.66,0.70,0.62,0.78,0.77,정보없음,low,가벼운 수분 제형; 진정/민감 키워드; 기본추천 제외 상품
cultbeauty_d6ebd033a68a86,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형
cultbeauty_f2c14536ac5a47,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_ea63b872787a92,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_122d61fcc15ab9,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_341739bc84a4fe,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_fdbe08889926b9,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
cultbeauty_95df60a75f5bca,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_a743375aaade89,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_7e940b76269868,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_f72131f93f7ca8,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 기본추천 제외 상품
cultbeauty_b0c91dc9cbc2d8,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_7bcba050d1207c,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_f675dd0525db2c,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_07f86ac80daf2e,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_6ee6a4890e0a92,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_6e98c82535d18f,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형
cultbeauty_8ae7559d442ee8,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형
cultbeauty_866b2ba0219254,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_4e2ac4f9e0b58d,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_23c474eb485437,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_5cf5919209d6b2,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_c17a8abe3fe4b4,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_125bbe62b223ce,0.64,0.58,0.60,0.62,0.66,0.77,민감가능,low,진정/민감 키워드
cultbeauty_edeb4a7a3a25d7,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_f3f81dd1cf6202,0.58,0.76,0.72,0.62,0.58,0.47,정보없음,low,피지/트러블 키워드
cultbeauty_f103e9fd19f2b5,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_79195d89e7e69d,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_b0675f33303ef0,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_4af5d93b4d023d,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_8263ab96b134fa,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형; 기본추천 제외 상품
cultbeauty_dcfb9c8c6fe19d,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_6efaeeb8b6b9b9,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_2430da42af98d9,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_b3298a6e79e101,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_bcf754090cb7d5,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_4ad6e101323e2e,0.58,0.84,0.82,0.62,0.70,0.47,정보없음,low,가벼운 수분 제형; 피지/트러블 키워드; 기본추천 제외 상품
cultbeauty_add385be0b2672,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_0355c5f7018bcb,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_b5a65aa532ff2c,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_55092134cb8725,0.64,0.58,0.60,0.62,0.66,0.77,정보없음,low,진정/민감 키워드; 기본추천 제외 상품
cultbeauty_455a6a3da92f99,0.78,0.66,0.70,0.70,0.92,0.55,정보없음,low,보습/장벽 컨셉; 가벼운 수분 제형
cultbeauty_e281506ab8abd1,0.58,0.66,0.70,0.62,0.70,0.55,정보없음,low,가벼운 수분 제형; 기본추천 제외 상품
cultbeauty_6448a8adf965ef,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_8633df96138d64,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_497e950581cb02,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_6a950107dddaa7,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_2f96568ac2b8cd,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_ddd89c057d7ca1,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_ed7ea438fd4259,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형; 기본추천 제외 상품
cultbeauty_2bbfbec6233214,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형
cultbeauty_8d43ec5683dd42,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_9a882ec0606720,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_a21a2191080c36,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_204f233fb53763,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_104bf452ee18b6,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_274dd95db9c6bb,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_2378bf393d0d6a,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_f4d9c881d69fbe,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_cb821c5d9ed08a,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_2e297de73f22cb,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_4ff774aecc63e1,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_06831a76715f99,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_768b386d4b993f,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_2023a5d32bf1b9,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_7a3c4bd2b642ab,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_8675ddedce844c,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_eb135842a47a74,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_591817fdab6d57,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_92849052335c5a,0.74,0.48,0.55,0.62,0.58,0.55,정보없음,low,오일/밤 제형; 기본추천 제외 상품
cultbeauty_a2c564f44ba2ca,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_8088a13fe8e119,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_333be1be7336cc,0.64,0.58,0.60,0.62,0.66,0.77,민감가능,low,진정/민감 키워드
cultbeauty_6fcb2ee6196ea7,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_b192e96e2fa6e3,0.78,0.76,0.72,0.70,0.80,0.47,정보없음,low,보습/장벽 컨셉; 피지/트러블 키워드
cultbeauty_a39975e4e36673,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형
cultbeauty_c886b7039514b3,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_22f3a9ea1dcbe6,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,unknown,해외 상품명 기반 기본값
cultbeauty_78e52d6d08903d,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_68359758a04066,0.64,0.58,0.60,0.62,0.66,0.77,정보없음,low,진정/민감 키워드; 기본추천 제외 상품
cultbeauty_fd650b5d5010eb,0.78,0.76,0.72,0.70,0.80,0.47,정보없음,low,보습/장벽 컨셉; 피지/트러블 키워드; 기본추천 제외 상품
cultbeauty_9ad6c3a811f745,0.58,0.76,0.72,0.62,0.58,0.47,정보없음,low,피지/트러블 키워드; 기본추천 제외 상품
cultbeauty_6b844e36900fe2,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_224e67214386eb,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_37a7aa2766e433,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_af08d954bd1fe4,0.78,0.58,0.60,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉
cultbeauty_d2ce4a475c55b7,0.58,0.84,0.82,0.62,0.70,0.47,정보없음,low,가벼운 수분 제형; 피지/트러블 키워드; 기본추천 제외 상품
cultbeauty_695f3888477c2a,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_8f2291947cfc62,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_38dcb7e573766a,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_9145b77e225f20,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_67f75f29d16344,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_9291050ce876fd,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_56d9c520fc4662,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_2dd2e89a4f9b30,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_b204299a6c8aaa,0.58,0.58,0.60,0.62,0.58,0.55,정보없음,low,기본추천 제외 상품
cultbeauty_8dffb56879e336,0.78,0.76,0.72,0.70,0.80,0.47,정보없음,low,보습/장벽 컨셉; 피지/트러블 키워드
cultbeauty_60a564ca0d3217,0.94,0.48,0.55,0.70,0.80,0.55,정보없음,low,보습/장벽 컨셉; 오일/밤 제형
