product_id,image_type,display_order,source_image_url,storage_key,public_url,upload_status
ulta_0d1b58035afb0b,thumbnail,1,https://media.ultainc.com/i/ulta/2616776?w=500&h=500,products/ulta_0d1b58035afb0b/thumbnail_001_8f10a4f9240f.jpg,products/ulta_0d1b58035afb0b/thumbnail_001_8f10a4f9240f.jpg,PENDING_UPLOAD
ulta_8255f26d280588,thumbnail,1,https://media.ultainc.com/i/ulta/2613664?w=500&h=500,products/ulta_8255f26d280588/thumbnail_001_3a9e15f2e582.jpg,products/ulta_8255f26d280588/thumbnail_001_3a9e15f2e582.jpg,PENDING_UPLOAD
ulta_9992f327c8bc95,thumbnail,1,https://media.ultainc.com/i/ulta/2614264?w=500&h=500,products/ulta_9992f327c8bc95/thumbnail_001_f28765f2ed5f.jpg,products/ulta_9992f327c8bc95/thumbnail_001_f28765f2ed5f.jpg,PENDING_UPLOAD
ulta_6e535e73396dba,thumbnail,1,https://media.ultainc.com/i/ulta/2615539?w=500&h=500,products/ulta_6e535e73396dba/thumbnail_001_7cc9f145cfe8.jpg,products/ulta_6e535e73396dba/thumbnail_001_7cc9f145cfe8.jpg,PENDING_UPLOAD
ulta_8b55e5f8dc27e5,thumbnail,1,https://media.ultainc.com/i/ulta/2614977?w=500&h=500,products/ulta_8b55e5f8dc27e5/thumbnail_001_e32fbe611369.jpg,products/ulta_8b55e5f8dc27e5/thumbnail_001_e32fbe611369.jpg,PENDING_UPLOAD
ulta_06597e4c3d784b,thumbnail,1,https://media.ultainc.com/i/ulta/2617540?w=500&h=500,products/ulta_06597e4c3d784b/thumbnail_001_d61b1a07b9a5.jpg,products/ulta_06597e4c3d784b/thumbnail_001_d61b1a07b9a5.jpg,PENDING_UPLOAD
ulta_0826121990669a,thumbnail,1,https://media.ultainc.com/i/ulta/2617532?w=500&h=500,products/ulta_0826121990669a/thumbnail_001_3d4e2dec8b77.jpg,products/ulta_0826121990669a/thumbnail_001_3d4e2dec8b77.jpg,PENDING_UPLOAD
ulta_a9683d99a9d278,thumbnail,1,https://media.ultainc.com/i/ulta/2617536?w=500&h=500,products/ulta_a9683d99a9d278/thumbnail_001_23edab5210bf.jpg,products/ulta_a9683d99a9d278/thumbnail_001_23edab5210bf.jpg,PENDING_UPLOAD
ulta_29f85ba1df78f9,thumbnail,1,https://media.ultainc.com/i/ulta/2617545?w=500&h=500,products/ulta_29f85ba1df78f9/thumbnail_001_e7f2ad7e298f.jpg,products/ulta_29f85ba1df78f9/thumbnail_001_e7f2ad7e298f.jpg,PENDING_UPLOAD
ulta_b1116d3e66adf1,thumbnail,1,https://media.ultainc.com/i/ulta/2615402?w=500&h=500,products/ulta_b1116d3e66adf1/thumbnail_001_865dac51b228.jpg,products/ulta_b1116d3e66adf1/thumbnail_001_865dac51b228.jpg,PENDING_UPLOAD
ulta_73526511a404fe,thumbnail,1,https://media.ultainc.com/i/ulta/2617551?w=500&h=500,products/ulta_73526511a404fe/thumbnail_001_8bf297a22448.jpg,products/ulta_73526511a404fe/thumbnail_001_8bf297a22448.jpg,PENDING_UPLOAD
ulta_bf4ccbea453243,thumbnail,1,https://media.ultainc.com/i/ulta/2618234?w=500&h=500,products/ulta_bf4ccbea453243/thumbnail_001_3d738c10734f.jpg,products/ulta_bf4ccbea453243/thumbnail_001_3d738c10734f.jpg,PENDING_UPLOAD
ulta_ed001a2eee2518,thumbnail,1,https://media.ultainc.com/i/ulta/2616014?w=500&h=500,products/ulta_ed001a2eee2518/thumbnail_001_c8ef011b0d70.jpg,products/ulta_ed001a2eee2518/thumbnail_001_c8ef011b0d70.jpg,PENDING_UPLOAD
