product_id,brand,name,category,skin_type_tags,thumbnail_url,image_urls
prod_oy_a000000144052,폴라초이스,폴라초이스 스킨 발란싱 포어-리듀싱 토너 190ml,toner,,https://static.oliveyoung.co.kr/pc-static-root/image//comm/noimg_550.gif,
prod_oy_a000000145833,플리프,플리프 시카-알로에 앰플 토너 200ml (여드름성피부추천),toner,,https://static.oliveyoung.co.kr/pc-static-root/image//comm/noimg_550.gif,
prod_oy_a000000146262,하다라보,[8종히알루론산] 하다라보 고쿠쥰 프리미엄 로션 170mL,toner,,https://static.oliveyoung.co.kr/pc-static-root/image//comm/noimg_550.gif,
prod_oy_a000000146589,아비브,[수분진정] 아비브 어성초 카밍 토너 스킨부스터 200ml,toner,,https://static.oliveyoung.co.kr/pc-static-root/image//comm/noimg_550.gif,
prod_oy_a000000147360,땡큐파머,[화해1위/미백토너] 땡큐파머 강화교동쌀 맑음 에센셜토너 200ml,toner,,https://static.oliveyoung.co.kr/pc-static-root/image//comm/noimg_550.gif,
prod_oy_a000000148252,라운드랩,[수분생기] 라운드랩 자작나무 수분 토너 300ml,toner,,https://static.oliveyoung.co.kr/pc-static-root/image//comm/noimg_550.gif,
prod_oy_a000000150815,아크네스,[기름종이토너] 아크네스 세범 밸런싱 스킨 200ml,toner,,https://static.oliveyoung.co.kr/pc-static-root/image//comm/noimg_550.gif,
prod_oy_a000000154540,원씽,[수분진정/붉은기완화] 원씽 병풀 추출물 토너 150ml,toner,,https://static.oliveyoung.co.kr/pc-static-root/image//comm/noimg_550.gif,
prod_oy_a000000155413,더말로지카,[뿌리는 쫀쫀거품 토너] 더말로지카 3 in 1 멀티-액티브 토너 50ml (쿨링/진정/수분),toner,,https://static.oliveyoung.co.kr/pc-static-root/image//comm/noimg_550.gif,
prod_oy_a000000158322,원씽,[톤/결개선] 원씽 나이아신아마이드 10% 토너 150ml,toner,,https://static.oliveyoung.co.kr/pc-static-root/image//comm/noimg_550.gif,
prod_oy_a000000160436,그레이멜린,그레이멜린 알래스카 내추럴 토너500ml *,toner,,https://static.oliveyoung.co.kr/pc-static-root/image//comm/noimg_550.gif,
