product_id,brand,product_name,category,is_recommendable,review_count,avg_rating,month_review_count,month_review_rate,repurchase_count,repurchase_rate,photo_review_count,photo_review_rate,profile_review_count,profile_review_rate,avg_helpful_count,top_skin_types,top_skin_tones,top_skin_troubles,review_confidence
prod_oy_a000000211479,아비브,[화잘먹세럼] 아비브 부활초 비피다 세럼 퍼밍 드롭 50ml 더블 기획,serum,true,2347,4.756,2347,1.0000,284,0.1210,370,0.1576,735,0.3132,1.971,복합성:275;건성:232;민감성:80;지성:65;트러블성:47,쿨톤:164;여름쿨톤:150;웜톤:139;봄웜톤:100;겨울쿨톤:82,잡티:333;미백:211;트러블:208;주름:132;민감성:103,high
prod_oy_a000000247774,구달,[115ml 대용량 기획] 구달 청귤 비타C 잡티케어 세럼 알파 50ml 더블 기획(+신제품 TXA세럼),serum,true,2331,4.768,2331,1.0000,81,0.0347,332,0.1424,679,0.2913,13.094,복합성:269;건성:179;지성:110;민감성:63;트러블성:24,쿨톤:172;여름쿨톤:135;웜톤:127;봄웜톤:97;가을웜톤:53,잡티:301;미백:206;트러블:176;주름:104;블랙헤드:96,high
dermstore_60f89276f8dbf3,Vichy,Vichy Minéral 89 Hydrating and Plumping Daily Booster (2.54 fl. oz.),serum,true,2330,4.680,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.001,,,,high
lookfantastic_18e261469a842b,Caudalie,Caudalie VinoHydra S.O.S Hydrating Hyaluronic Serum 30ml,serum,true,2330,4.875,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.000,,,,high
prod_oy_a000000205643,메디힐,[1등/단품] 메디힐 마데카소사이드 흔적 리페어 세럼 40ml,serum,true,2328,4.668,2328,1.0000,466,0.2002,250,0.1074,666,0.2861,7.317,복합성:273;지성:135;건성:105;민감성:76;트러블성:50,여름쿨톤:151;봄웜톤:134;쿨톤:121;웜톤:119;가을웜톤:65,잡티:278;트러블:252;미백:168;블랙헤드:99;각질:97,high
ulta_567a17c6813e3e,Clinique,Smart Clinical Repair Wrinkle Correcting Face Cream - 2.5 oz,cream,true,2322,4.428,0,0.0000,0,0.0000,0,0.0000,27,0.0116,0.815,복합성:10;건성:9;중성:8,,,high
ulta_d53339a8fbc780,Clinique,Smart Clinical Repair Wrinkle Correcting Face Cream - 0.5 oz,cream,true,2322,4.428,0,0.0000,0,0.0000,0,0.0000,27,0.0116,0.815,복합성:10;건성:9;중성:8,,,high
ulta_f24e3b8c2097e1,Clinique,Smart Clinical Repair Wrinkle Correcting Face Cream - 1.7 oz,cream,true,2322,4.428,0,0.0000,0,0.0000,0,0.0000,27,0.0116,0.815,복합성:10;건성:9;중성:8,,,high
ulta_fbd9765d9ba2f9,Clinique,Clinique Smart Clinical Repair Wrinkle Correcting Rich Face Cream,cream,true,2322,4.428,0,0.0000,0,0.0000,0,0.0000,27,0.0116,0.815,복합성:10;건성:9;중성:8,,,high
lookfantastic_6ef2cdaa1ab538,Elizabeth Arden,Elizabeth Arden Prevage Anti-Aging Daily Serum 2.0 1.7 oz,serum,true,2315,4.727,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.000,,,,high
