product_id,brand,name,category,is_recommendable,recommend_exclude_reason,skin_type_tags,thumbnail_url,image_urls,functional_review_text,functional_cosmetic_status,functional_cosmetic_claims,functional_claim_confidence,functional_claim_basis
ulta_59a4919f4c7d96,Daeng Gi Meo Ri,Naturalon Tea Tree Cool Shampoo,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77005293?w=500&h=500,https://media.ultainc.com/i/ulta/77005293?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_b11345c74981f8,Daeng Gi Meo Ri,Shampoo for Oily Scalp,haircare,false,db_only_foreign_catalog:haircare,,https://media.ultainc.com/i/ulta/77005304?w=500&h=500,https://media.ultainc.com/i/ulta/77005304?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_b1f98fa7342136,Florasis,Flawless Jade Shine Liquid Lipstick - G501,makeup,false,db_only_foreign_catalog:makeup,,https://media.ultainc.com/i/ulta/77000739?w=500&h=500,https://media.ultainc.com/i/ulta/77000739?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_2fd9a27690f302,Makari,Ceramide Collagen + Peptides Body Toning Cream,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77005327?w=500&h=500,https://media.ultainc.com/i/ulta/77005327?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_43e31d1b4691ac,Makari,Exclusive Tone Boosting Body Milk,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77005341?w=500&h=500,https://media.ultainc.com/i/ulta/77005341?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_88a925b8688284,Makari,Exclusive Active Intense Soap,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77005347?w=500&h=500,https://media.ultainc.com/i/ulta/77005347?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_697fce7b5d882c,Makari,Naturalle Carotonic Extreme Glow Renewing Complexion Soap,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77005353?w=500&h=500,https://media.ultainc.com/i/ulta/77005353?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_ad09450d63f19a,Makari,Exclusive Tone Boosting Body Glycerin,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77005359?w=500&h=500,https://media.ultainc.com/i/ulta/77005359?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_c00b22271bd865,APOTHEKE,Canvas Liquid Soap and Lotion Set,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77005564?w=500&h=500,https://media.ultainc.com/i/ulta/77005564?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
ulta_a55b5c7232a3aa,APOTHEKE,Earl Grey Bitters Liquid Soap and Lotion Set,bodycare,false,db_only_foreign_catalog:bodycare,,https://media.ultainc.com/i/ulta/77005570?w=500&h=500,https://media.ultainc.com/i/ulta/77005570?w=500&h=500,,UNKNOWN,,unknown,foreign_db_only_catalog
