query_id,source,ingredient_rank,ingredient_id,name_ko,canonical_name_en,approved_search_terms,search_query,query_sha256,query_version,request_status,total_hit_count,raw_hit_count,retrieval_cap,retrieved_count,returned_count,pagination_complete,pagination_status,searched_at,query_contract_status,rerun_required,error_type,error_message,robots_url,robots_fetched_at_utc,robots_sha256,robots_rule,review_status,runtime_score_change,pipeline_version
kci:pentylene_glycol:72c08c88b3a53e42,kci,26,pentylene_glycol,펜틸렌글라이콜,Pentylene Glycol,Pentylene Glycol,"[""\""Pentylene Glycol\"" skin""]",72c08c88b3a53e4267ae719639858a6e6d34d46050912dc82348f59178dc907e,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:alcohol:95ffd65f80daa0ac,kci,27,alcohol,에탄올,Alcohol,Alcohol,"[""\""Alcohol\"" skin""]",95ffd65f80daa0ac8b860a59047c967daa37c98cb9d8163e72edca5dafc1cd3f,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:disteardimonium_hectorite:39592455a4bff2f9,kci,28,disteardimonium_hectorite,다이스테아다이모늄헥토라이트,Disteardimonium Hectorite,Disteardimonium Hectorite,"[""\""Disteardimonium Hectorite\"" skin""]",39592455a4bff2f9191934903b39f137e0f17a3e58ce66c71ebb6697ca1cfc18,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:citronellol:f99b7470adcb852c,kci,29,citronellol,시트로넬올,Citronellol,Citronellol,"[""\""Citronellol\"" skin""]",f99b7470adcb852c86872c64c0aa2363901998cbaa8bc8986da6de4b92b90508,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:mica:ae9602986aff14c4,kci,30,mica,마이카,Mica,Mica,"[""\""Mica\"" skin""]",ae9602986aff14c4e1aa9276ac42c3fab898d078fd8509abb87b69f2980af4e5,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:cetearyl_alcohol:e347584155373f96,kci,31,cetearyl_alcohol,세테아릴알코올,Cetearyl Alcohol,Cetearyl Alcohol,"[""\""Cetearyl Alcohol\"" skin""]",e347584155373f962fd7dc1eb5286d3af83542e29aa1fd086c452a89ebfb3ad4,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:carbomer:00fdd680175b0eed,kci,32,carbomer,카보머,Carbomer,Carbomer,"[""\""Carbomer\"" skin""]",00fdd680175b0eed53862ce86b5bc2e618ec13d8227539ff4517363850799402,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:geraniol:d13d673bd21b0462,kci,33,geraniol,제라니올,Geraniol,Geraniol,"[""\""Geraniol\"" skin""]",d13d673bd21b0462356a0cabd393e2e328bbbe69fac7ac87786436f280586c16,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:aluminum_hydroxide:e86de734d953c91f,kci,35,aluminum_hydroxide,알루미늄하이드록사이드,Aluminum Hydroxide,Aluminum Hydroxide,"[""\""Aluminum Hydroxide\"" skin""]",e86de734d953c91f1153dac855f6b39f05c3ae1e925fa7775b395337c1fc46e7,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
kci:helianthus_annuus_sunflower_seed_oil:ec3885ff950abc68,kci,36,helianthus_annuus_sunflower_seed_oil,해바라기씨오일,Helianthus Annuus (Sunflower) Seed Oil,Helianthus Annuus (Sunflower) Seed Oil,"[""\""Helianthus Annuus (Sunflower) Seed Oil\"" skin""]",ec3885ff950abc68c3531631a33f6cb8298daa8e037dad3f0d264b186683bc57,mwbl-kci-approved-term-skin-context-v1.1,access_unavailable,,,0,0,0,N,not_run_robots_disallowed,2026-07-13T06:45:49Z,approved_terms_only,N,robots_disallowed,KCI robots.txt disallows / for User-agent: *; search was not requested,https://www.kci.go.kr/robots.txt,2026-07-13T06:45:49Z,d220f330732f1f47afbdd06b61fc3739164627b94f8cf365f9eefddcd3951911,User-agent: * / Disallow: /,candidate_unverified,none,mwbl-ingredient-evidence-filter-v1.1-fresh-kci
