alias,normalized_alias,previous_canonical_id,new_canonical_id,action,note
석류씨오일,석류씨오일,,punica_granatum_seed_oil,added,공식 exact identity alias
석류추출물,석류추출물,,punica_granatum_fruit_extract,added,공식 exact identity alias
석시노글리칸,석시노글리칸,,succinoglycan,added,공식 exact identity alias
석시닉애씨드,석시닉애씨드,,succinic_acid,added,공식 exact identity alias
석영,석영,,quartz,added,공식 exact identity alias
선백리향잎추출물,선백리향잎추출물,,thymus_vulgaris_thyme_leaf_extract,added,공식 exact identity alias
선백리향추출물,선백리향추출물,,thymus_vulgaris_thyme_extract,added,공식 exact identity alias
선인장꽃추출물,선인장꽃추출물,,cereus_grandiflorus_cactus_flower_extract,added,공식 exact identity alias
선인장열매추출물,선인장열매추출물,,opuntia_ficus_indica_fruit_extract,added,공식 exact identity alias
선인장줄기추출물,선인장줄기추출물,,opuntia_ficus_indica_stem_extract,added,공식 exact identity alias
설탕단풍추출물,설탕단풍추출물,,acer_saccharum_sugar_maple_extract,added,공식 exact identity alias
세라마이드1,세라마이드1,,ceramide_eop,added,공식 exact identity alias
세라마이드2,세라마이드2,,ceramide_ng|ceramide_ns,skipped_conflict,KCIA alias가 둘 이상의 선택 canonical에 연결됨
세라마이드6,세라마이드6,,ceramide_ap,added,공식 exact identity alias
세라마이드에이에스,세라마이드에이에스,ceramides,ceramide_as,reassigned_exact_identity,공식 exact identity alias
세라마이드에이피,세라마이드에이피,ceramides,ceramide_ap,reassigned_exact_identity,공식 exact identity alias
세라마이드엔에스,세라마이드엔에스,ceramides,ceramide_ns,reassigned_exact_identity,공식 exact identity alias
세라마이드엔지,세라마이드엔지,ceramides,ceramide_ng,reassigned_exact_identity,공식 exact identity alias
세라마이드이오에스,세라마이드이오에스,,ceramide_eos,added,공식 exact identity alias
세라마이드이오피,세라마이드이오피,ceramides,ceramide_eop,reassigned_exact_identity,공식 exact identity alias
세레신,세레신,,ceresin,added,공식 exact identity alias
세룰라타벚나무꽃추출물,세룰라타벚나무꽃추출물,,prunus_serrulata_flower_extract,added,공식 exact identity alias
세리신,세리신,,sericin,added,공식 exact identity alias
세이지오일,세이지오일,,salvia_officinalis_sage_oil,added,공식 exact identity alias
세테스-10포스페이트,세테스-10포스페이트,,ceteth_10_phosphate,added,공식 exact identity alias
세테스-2,세테스-2,,ceteth_2,added,공식 exact identity alias
세테스-20,세테스-20,,ceteth_20,added,공식 exact identity alias
세테아라미도에틸다이에토늄석시노일하이드롤라이즈드완 두콩단백질,세테아라미도에틸다이에토늄석시노일하이드롤라이즈드완두콩단백질,,cetearamidoethyldiethonium_succinoyl_hydrolyzed_pea_protein,added,공식 exact identity alias
세테아레스-20,세테아레스-20,,ceteareth_20,added,공식 exact identity alias
세테아레스-25,세테아레스-25,,ceteareth_25,added,공식 exact identity alias
세테아레스-33,세테아레스-33,,ceteareth_33,added,공식 exact identity alias
세테아레스-60미리스틸글라이콜,세테아레스-60미리스틸글라이콜,,ceteareth_60_myristyl_glycol,added,공식 exact identity alias
세테아레스-7,세테아레스-7,,ceteareth_7,added,공식 exact identity alias
세테아릴다이메티콘/비닐다이메티콘크로스폴리머,세테아릴다이메티콘/비닐다이메티콘크로스폴리머,,cetearyl_dimethicone_vinyl_dimethicone_crosspolymer,added,공식 exact identity alias
세테아릴디메치콘/비닐디메치콘크로스폴리머,세테아릴디메치콘/비닐디메치콘크로스폴리머,,cetearyl_dimethicone_vinyl_dimethicone_crosspolymer,added,공식 exact identity alias
세테아릴아이소노나노에이트,세테아릴아이소노나노에이트,,cetearyl_isononanoate,added,공식 exact identity alias
세테아릴에칠헥사노에이트,세테아릴에칠헥사노에이트,,cetearyl_ethylhexanoate,added,공식 exact identity alias
세테아릴에틸헥사노에이트,세테아릴에틸헥사노에이트,,cetearyl_ethylhexanoate,added,공식 exact identity alias
