ingredient_id,name_ko,name_en,product_row_count,product_count,current_effect_ids,current_risk_types,cosing_match_status,cosing_inci_name,cosing_functions,cosing_restrictions,cosing_sccs_opinion_count,effect_signal_ids,effect_signal_basis,role_effect_candidate,role_formulation,role_risk_review,role_general_other,role_unresolved,research_priority,classification_status,classification_note,source_url,source_fetched_on
iron_oxide_yellow,황색산화철,Iron Oxide Yellow,1463,1463,,,not_matched,,,,0,,,N,N,N,Y,Y,not_selected,not_selected,6축 효능 후보 신호 없음,,
citrus_aurantium_dulcis_orange_peel_oil,오렌지껍질오일,Citrus Aurantium Dulcis (Orange) Peel Oil,1461,1458,,,official_name_variant,CITRUS AURANTIUM DULCIS PEEL OIL,FRAGRANCE|SKIN CONDITIONING,III/351,0,,,N,Y,Y,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
bis_diglyceryl_polyacyladipate_2,비스-다이글리세릴폴리아실아디페이트-2,Bis-Diglyceryl Polyacyladipate-2,1452,1449,,,exact_name,BIS-DIGLYCERYL POLYACYLADIPATE-2,SKIN CONDITIONING|SKIN CONDITIONING - EMOLLIENT,,0,,,N,N,N,Y,N,not_selected,not_selected,인체 국소 PubMed 사전검사 미통과,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
alcohol_denat,변성알코올,Alcohol Denat.,1444,1444,,,exact_name,ALCOHOL DENAT.,ANTIFOAMING|ANTIMICROBIAL|ASTRINGENT|FRAGRANCE|SOLVENT|VISCOSITY CONTROLLING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
aminomethyl_propanol,아미노메틸프로판올,Aminomethyl Propanol,1439,1439,,,exact_name,AMINOMETHYL PROPANOL,BUFFERING,III/61,0,,,N,Y,Y,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
sodium_hyaluronate_crosspolymer,소듐하이알루로네이트크로스폴리머,Sodium Hyaluronate Crosspolymer,1437,1437,,,exact_name,SODIUM HYALURONATE CROSSPOLYMER,HUMECTANT|SKIN CONDITIONING,,0,,,N,N,N,Y,N,not_selected,not_selected,인체 국소 PubMed 사전검사 미통과,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
isoleucine,아이소류신,Isoleucine,1424,1424,,,exact_name,ISOLEUCINE,ANTISTATIC|HAIR CONDITIONING|SKIN CONDITIONING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
iron_oxide_black,흑색산화철,Iron Oxide Black,1413,1413,,,not_matched,,,,0,,,N,N,N,Y,Y,not_selected,not_selected,6축 효능 후보 신호 없음,,
boron_nitride,보론나이트라이드,Boron Nitride,1410,1410,,,exact_name,BORON NITRIDE,BULKING|SLIP MODIFIER,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
disodium_phosphate,다이소듐포스페이트,Disodium Phosphate,1391,1391,,,exact_name,DISODIUM PHOSPHATE,ANTICORROSIVE|BUFFERING|FRAGRANCE,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
ethylhexyl_salicylate,에칠헥실살리실레이트,Ethylhexyl Salicylate,1389,1385,,,exact_name,ETHYLHEXYL SALICYLATE,LIGHT STABILIZER|UV ABSORBER|UV FILTER,VI/20,0,,,N,Y,Y,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
hydrogenated_polydecene,하이드로제네이티드폴리데센,Hydrogenated Polydecene,1385,1378,,,exact_name,HYDROGENATED POLYDECENE,FRAGRANCE|HAIR CONDITIONING|PERFUMING|SKIN CONDITIONING|SKIN CONDITIONING - EMOLLIENT|SOLVENT,,0,,,N,Y,N,N,N,not_selected,not_selected,인체 국소 PubMed 사전검사 미통과,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
sodium_cocoyl_isethionate,소듐코코일이세티오네이트,Sodium Cocoyl Isethionate,1381,1375,,,exact_name,SODIUM COCOYL ISETHIONATE,CLEANSING|HAIR CONDITIONING|SURFACTANT - CLEANSING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
sodium_acetylated_hyaluronate,소듐아세틸레이티드하이알루로네이트,Sodium Acetylated Hyaluronate,1371,1371,,,exact_name,SODIUM ACETYLATED HYALURONATE,HUMECTANT,,0,,,N,N,N,Y,N,not_selected,not_selected,인체 국소 PubMed 사전검사 미통과,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
melia_azadirachta_leaf_extract,인도멀구슬나무잎추출물,Melia Azadirachta Leaf Extract,1372,1369,,,exact_name,MELIA AZADIRACHTA LEAF EXTRACT,SKIN CONDITIONING,,0,,,N,N,N,Y,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
silica_dimethyl_silylate,실리카다이메틸실릴레이트,Silica Dimethyl Silylate,1363,1363,,,exact_name,SILICA DIMETHYL SILYLATE,ANTICAKING|ANTIFOAMING|EMULSION STABILISING|SKIN CONDITIONING - EMOLLIENT|VISCOSITY CONTROLLING,,2,,,N,Y,Y,N,N,not_selected,not_selected,인체 국소 PubMed 사전검사 미통과,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
polyisobutene,폴리아이소부텐,Polyisobutene,1355,1354,,,exact_name,POLYISOBUTENE,BINDING|FILM FORMING|VISCOSITY CONTROLLING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
glutamic_acid,글루타믹애씨드,Glutamic Acid,1350,1350,,,exact_name,GLUTAMIC ACID,ANTISTATIC|HAIR CONDITIONING|HUMECTANT,,0,,,N,Y,N,N,N,not_selected,not_selected,인체 국소 PubMed 사전검사 미통과,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
sodium_gluconate,소듐글루코네이트,Sodium Gluconate,1347,1347,,,exact_name,SODIUM GLUCONATE,CHELATING|SKIN CONDITIONING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
glycol_distearate,글라이콜다이스테아레이트,Glycol Distearate,1344,1344,,,exact_name,GLYCOL DISTEARATE,OPACIFYING|SKIN CONDITIONING|SKIN CONDITIONING - EMOLLIENT|SURFACTANT - EMULSIFYING|VISCOSITY CONTROLLING,,0,,,N,Y,N,N,N,not_selected,not_selected,인체 국소 PubMed 사전검사 미통과,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
curcuma_longa_turmeric_root_extract,울금뿌리추출물,Curcuma Longa (Turmeric) Root Extract,1341,1341,,,official_name_variant,CURCUMA LONGA ROOT EXTRACT,FRAGRANCE|PERFUMING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
tetramethyl_acetyloctahydronaphthalenes,테트라메틸아세틸옥타하이드로나프탈렌,Tetramethyl Acetyloctahydronaphthalenes,1336,1336,,,exact_name,TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES,FRAGRANCE|PERFUMING|SKIN CONDITIONING - MISCELLANEOUS,III/344,0,,,N,Y,Y,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
citrus_aurantium_bergamia_bergamot_fruit_oil,베르가모트오일,Citrus Aurantium Bergamia (Bergamot) Fruit Oil,1328,1327,,,official_name_variant,CITRUS AURANTIUM BERGAMIA FRUIT OIL,FRAGRANCE|PERFUMING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
isostearic_acid,아이소스테아릭애씨드,Isostearic Acid,1327,1327,,,exact_name,ISOSTEARIC ACID,BINDING|CLEANSING|SURFACTANT - CLEANSING|SURFACTANT - EMULSIFYING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
polyglyceryl_3_diisostearate,폴리글리세릴-3다이아이소스테아레이트,Polyglyceryl-3 Diisostearate,1322,1322,,,exact_name,POLYGLYCERYL-3 DIISOSTEARATE,SURFACTANT - EMULSIFYING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
pvp,피브이피,PVP,1279,1279,,,exact_name,PVP,ANTISTATIC|BINDING|EMULSION STABILISING|FILM FORMING|HAIR FIXING|VISCOSITY CONTROLLING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
vitis_vinifera_grape_seed_oil,포도씨오일,Vitis Vinifera (Grape) Seed Oil,1277,1277,,,official_name_variant,VITIS VINIFERA SEED OIL,SKIN CONDITIONING|SKIN CONDITIONING - EMOLLIENT,,0,,,N,N,N,Y,N,not_selected,not_selected,인체 국소 PubMed 사전검사 미통과,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
lysine,라이신,Lysine,1275,1273,,,exact_name,LYSINE,ANTISTATIC|HAIR CONDITIONING|SKIN CONDITIONING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
polyethylene,폴리에틸렌,Polyethylene,1270,1270,,,exact_name,POLYETHYLENE,ABRASIVE|FILM FORMING|VISCOSITY CONTROLLING,,0,,,N,Y,N,N,N,not_selected,not_selected,6축 효능 후보 신호 없음,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
