cohort,ingredient_id,name_ko,name_en,product_count,raw_pubmed_hit_count,representative_paper_count,benefit_candidate_count,uncertain_effect_count,conflict_or_zero_candidate_count,mechanism_support_count,risk_candidate_count,safety_signal_count,new_effect_candidate_count,formulation_paper_count,reference_paper_count,best_benefit_tier,candidate_effect_ids,candidate_new_effects,candidate_pmids,score_eligibility_decision,recommended_runtime_use,can_change_benefit_score_now,review_status,runtime_score_change
raw_hit_190,amyl_cinnamal,아밀신남알,Amyl Cinnamal,1292,8,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,sodium_metabisulfite,소듐메타바이설파이트,Sodium Metabisulfite,1287,50,2,0,0,0,0,0,6,0,1,0,,,,19825102|22320666|23039002|35715879|37130320|38934159,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,lysine,라이신,Lysine,1273,50,2,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,urea,유레아,Urea,1257,50,2,0,0,0,0,0,5,0,3,0,,,,24314769|33249708|34596890|37776363|38465394,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,triethylhexanoin,트라이에틸헥사노인,Triethylhexanoin,1247,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,cetearyl_glucoside,세테아릴글루코사이드,Cetearyl Glucoside,1237,11,1,0,0,0,0,0,1,0,0,0,,,,34628676,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,hydrolyzed_rice_protein,하이드롤라이즈드쌀단백질,Hydrolyzed Rice Protein,1236,3,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,butyl_methoxydibenzoylmethane,부틸메톡시디벤조일메탄,Butyl Methoxydibenzoylmethane,1224,50,1,0,0,0,0,0,0,0,4,0,,,,,formulation_only_no_ingredient_score,no_single_ingredient_benefit_score,N,candidate_unverified,none
representative_180,tetrahexyldecyl_ascorbate,테트라헥실데실아스코베이트,Tetrahexyldecyl Ascorbate,1210,13,2,0,0,0,0,0,1,0,2,0,,,,35194790,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
representative_180,vanillin,바닐린,Vanillin,1208,50,2,0,0,0,0,0,2,0,0,0,,,,33273232|37453556,safety_signal_review_only,no_score_until_adverse_direction_is_confirmed,N,candidate_unverified,none
raw_hit_190,hydrolyzed_soy_protein,하이드롤라이즈드콩단백질,Hydrolyzed Soy Protein,1204,2,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
representative_180,coco_betaine,코코-베타인,Coco-Betaine,1199,4,1,0,0,0,0,1,2,0,0,0,,,,38448283|41488827,full_text_risk_penalty_review,risk_only_after_full_text_and_human_approval,N,candidate_unverified,none
raw_hit_190,octyldodecyl_stearoyl_stearate,옥틸도데실스테아로일스테아레이트,Octyldodecyl Stearoyl Stearate,1189,2,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,polybutene,폴리부텐,Polybutene,1188,1,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
raw_hit_190,moringa_oleifera_seed_oil,드럼스틱씨오일,Moringa Oleifera Seed Oil,1174,5,0,0,0,0,0,0,0,0,0,0,,,,,not_scoreable_from_current_hits,no_score,N,candidate_unverified,none
