fetched_on,source_url,inci_name,functions_json,restrictions_json,sccs_opinions_json,substance_ids_json
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ADANSONIA DIGITATA PULP EXTRACT,"[""HUMECTANT"", ""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""54409""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ADANSONIA DIGITATA SEED EXTRACT,"[""SKIN CONDITIONING""]",[],[],"[""54410""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ADANSONIA DIGITATA SEED OIL,"[""HAIR CONDITIONING"", ""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""54411""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ADENOSINE,"[""SKIN CONDITIONING""]",[],[],"[""31367""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AESCULUS HIPPOCASTANUM EXTRACT,"[""ANTIOXIDANT"", ""ASTRINGENT"", ""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT"", ""SKIN PROTECTING""]",[],[],"[""82461""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AESCULUS HIPPOCASTANUM SEED EXTRACT,"[""SKIN CONDITIONING""]",[],[],"[""54427""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AGAR,"[""BINDING"", ""FRAGRANCE"", ""VISCOSITY CONTROLLING""]",[],[],"[""31385""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AGAVE TEQUILANA LEAF EXTRACT,"[""ASTRINGENT""]",[],[],"[""54438""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALANINE,"[""ANTISTATIC"", ""FRAGRANCE"", ""HAIR CONDITIONING"", ""SKIN CONDITIONING""]",[],[],"[""31395""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALANYL GLUTAMINE,"[""HUMECTANT"", ""SKIN CONDITIONING""]",[],[],"[""54278""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALARIA ESCULENTA EXTRACT,"[""HAIR CONDITIONING"", ""SKIN PROTECTING""]",[],[],"[""85339""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALBATRELLUS CONFLUENS EXTRACT,"[""HUMECTANT"", ""SKIN CONDITIONING""]",[],[],"[""54279""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALBIZIA JULIBRISSIN BARK EXTRACT,"[""FRAGRANCE"", ""SKIN CONDITIONING""]",[],[],"[""54280""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALCALIGENES POLYSACCHARIDES,"[""EMULSION STABILISING"", ""HUMECTANT"", ""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT"", ""VISCOSITY CONTROLLING""]",[],[],"[""54284""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALCOHOL,"[""ANTIFOAMING"", ""ANTIMICROBIAL"", ""ASTRINGENT"", ""FRAGRANCE"", ""SOLVENT"", ""VISCOSITY CONTROLLING""]",[],[],"[""31401""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALCOHOL DENAT.,"[""ANTIFOAMING"", ""ANTIMICROBIAL"", ""ASTRINGENT"", ""FRAGRANCE"", ""SOLVENT"", ""VISCOSITY CONTROLLING""]",[],[],"[""74174""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALEURITES MOLUCCANUS SEED OIL,"[""SKIN CONDITIONING""]",[],[],"[""92535""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALGAE EXTRACT,"[""FRAGRANCE"", ""HUMECTANT"", ""ORAL CARE"", ""SKIN CONDITIONING - EMOLLIENT"", ""SKIN CONDITIONING - MISCELLANEOUS""]",[],[],"[""54290""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALGAE OLIGOSACCHARIDES,"[""SKIN CONDITIONING - HUMECTANT""]",[],[],"[""54291""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALGIN,"[""BINDING"", ""FRAGRANCE"", ""VISCOSITY CONTROLLING""]",[],[],"[""74179""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALLANTOIN,"[""SKIN CONDITIONING"", ""SKIN PROTECTING"", ""SOOTHING""]",[],[],"[""31411""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALLIUM CEPA BULB EXTRACT,"[""SKIN CONDITIONING""]",[],[],"[""54297""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALOE BARBADENSIS EXTRACT,"[""SKIN CONDITIONING""]",[],[],"[""87239""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALOE BARBADENSIS FLOWER EXTRACT,"[""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""74262""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALOE BARBADENSIS LEAF EXTRACT,"[""HUMECTANT"", ""ORAL CARE"", ""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""54346""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALOE BARBADENSIS LEAF JUICE,"[""SKIN CONDITIONING""]",[],[],"[""54347""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALOE BARBADENSIS LEAF JUICE POWDER,"[""SKIN CONDITIONING""]",[],[],"[""54348""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALOE BARBADENSIS LEAF POLYSACCHARIDES,"[""FILM FORMING"", ""HUMECTANT"", ""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""54349""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALOE BARBADENSIS LEAF WATER,"[""FRAGRANCE""]",[],[],"[""54351""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALPHA-ARBUTIN,"[""ANTIOXIDANT"", ""BLEACHING"", ""SKIN CONDITIONING - MISCELLANEOUS""]","[""III/377""]","[""OPINION ON α-arbutin"", ""Opinion on the safety of alpha- (CAS No. 84380-018, EC No. 617-561-8) and beta-arbutin (CAS No. 497-76-7, EC No. 207-8503) in cosmetic products, preliminary version of 15-16 March 2022, final version of 31 January 2023, SCCS/1642/22""]","[""54359""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALPHA-GLUCAN,"[""HUMECTANT"", ""SKIN CONDITIONING""]",[],[],"[""54361""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALPHA-GLUCAN OLIGOSACCHARIDE,"[""CLEANSING"", ""SKIN CONDITIONING"", ""SMOOTHING""]",[],[],"[""89777""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALPHA-ISOMETHYL IONONE,"[""PERFUMING"", ""SKIN CONDITIONING""]","[""III/90""]",[],"[""39665""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALTEROMONAS FERMENT EXTRACT,"[""SKIN CONDITIONING - MISCELLANEOUS""]",[],[],"[""54308""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALTHAEA OFFICINALIS ROOT EXTRACT,"[""SKIN CONDITIONING""]",[],[],"[""54312""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALTHAEA ROSEA FLOWER EXTRACT,"[""SKIN CONDITIONING""]",[],[],"[""54313""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,ALTHAEA ROSEA ROOT EXTRACT,"[""HUMECTANT""]",[],[],"[""84835""]"
