rank,source_ingredient_id,dominant_name,row_count,product_count,cumulative_all_rows_pct,observed_name_count,top_observed_names,observed_names_json,existing_canonical_id,triage_status,triage_note
2148,ing_pending_70197b16edbf,Hydrogenated Microcrystalline Wax,70,70,23.9485,2,Hydrogenated Microcrystalline Wax (69) | Hydrogenated Microcry Stalline Wax (1),"[{""name"":""Hydrogenated Microcrystalline Wax"",""count"":69},{""name"":""Hydrogenated Microcry Stalline Wax"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2149,ing_pending_72904a9eacf8,Hydrogenated Olive Oil,70,70,23.9519,1,Hydrogenated Olive Oil (70),"[{""name"":""Hydrogenated Olive Oil"",""count"":70}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2150,ing_pending_76467e6ef6eb,Anthemis Nobilis (Chamomile) Flower Extract,70,70,23.9553,1,Anthemis Nobilis (Chamomile) Flower Extract (70),"[{""name"":""Anthemis Nobilis (Chamomile) Flower Extract"",""count"":70}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2151,ing_pending_859d059d2882,Hypnea Musciformis (Algae) Extract,70,70,23.9587,2,Hypnea Musciformis (Algae) Extract (68) | Hypnea Musciformis (algae) Extract (2),"[{""name"":""Hypnea Musciformis (Algae) Extract"",""count"":68},{""name"":""Hypnea Musciformis (algae) Extract"",""count"":2}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2152,ing_pending_8c90d213c90f,Potassium Azeloyl Diglycinate,70,70,23.9621,3,Potassium Azeloyl Diglycinate (65) | POTASSIUM AZELOYL DIGLYCINATE (4) | Potassium azeloyl diglycinate (1),"[{""name"":""Potassium Azeloyl Diglycinate"",""count"":65},{""name"":""POTASSIUM AZELOYL DIGLYCINATE"",""count"":4},{""name"":""Potassium azeloyl diglycinate"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2153,ing_pending_97a46a60f1ed,Cocos Nucifera (Coconut) Water/Cocos Nucifera Water,70,70,23.9655,2,Cocos Nucifera (Coconut) Water/Cocos Nucifera Water (69) | Cocos Nucifera (Coconut) Water/ Cocos Nucifera Water (1),"[{""name"":""Cocos Nucifera (Coconut) Water/Cocos Nucifera Water"",""count"":69},{""name"":""Cocos Nucifera (Coconut) Water/ Cocos Nucifera Water"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2154,ing_pending_99ee5296049d,겔리듐카르틸라기네움추출물,70,70,23.9689,2,겔리듐카르틸라기네움추출물 (53) | 겔리듐 카르틸라기네움추출물 (17),"[{""name"":""겔리듐카르틸라기네움추출물"",""count"":53},{""name"":""겔리듐 카르틸라기네움추출물"",""count"":17}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2155,ing_pending_ab1e6a62997d,acrylates/ethylhexyl acrylate copolymer,70,70,23.9723,2,acrylates/ethylhexyl acrylate copolymer (55) | Acrylates/Ethylhexyl Acrylate Copolymer (15),"[{""name"":""acrylates/ethylhexyl acrylate copolymer"",""count"":55},{""name"":""Acrylates/Ethylhexyl Acrylate Copolymer"",""count"":15}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2156,ing_pending_ababc12af0de,Natto Gum,70,70,23.9757,2,Natto Gum (69) | natto gum (1),"[{""name"":""Natto Gum"",""count"":69},{""name"":""natto gum"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
2157,ing_pending_b5c4c5012761,Castanea Crenata (Chestnut) Shell Extract,70,70,23.9791,2,Castanea Crenata (Chestnut) Shell Extract (69) | Castaneacrenata (Chestnut) Shell Extract (1),"[{""name"":""Castanea Crenata (Chestnut) Shell Extract"",""count"":69},{""name"":""Castaneacrenata (Chestnut) Shell Extract"",""count"":1}]",,canonical_review_required,기존 alias 없음; 신규 canonical 또는 중복 표기 검토 필요
