product_code,source_prefix,current_brand,suspected_brand,product_name,duplicate_group_size,duplicate_brand_count,duplicate_brands,confidence,note
lookfantastic_cf19c2d309be1d,lookfantastic,ESPA,,OUAI Hand Lotion 437ml,2,2,Aesop; ESPA,0.55,same product_name appears under multiple brands; brands=Aesop; ESPA
ulta_14cd850e5b6143,ulta,Baxter of California,,Oil Free Moisturizer,2,2,Baxter of California; Kate Somerville,0.55,same product_name appears under multiple brands; brands=Baxter of California; Kate Somerville
ulta_89e153ab4080d8,ulta,Kate Somerville,,Oil Free Moisturizer,2,2,Baxter of California; Kate Somerville,0.55,same product_name appears under multiple brands; brands=Baxter of California; Kate Somerville
sephora_b39d28070726e7,sephora,Elemis,,Pro Collagen Toning Mist,2,2,ELEMIS; Elemis,0.55,same product_name appears under multiple brands; brands=ELEMIS; Elemis
ulta_09b88ea3a06d5d,ulta,ELEMIS,,Pro-Collagen Toning Mist,2,2,ELEMIS; Elemis,0.55,same product_name appears under multiple brands; brands=ELEMIS; Elemis
ulta_0ff53eabf9523e,ulta,Saint Jane,,Rich Rescue Phyto Mucin Cream,2,2,Saint Jane; Saint Jane Beauty,0.55,same product_name appears under multiple brands; brands=Saint Jane; Saint Jane Beauty
sephora_aed9a97f2845a5,sephora,Saint Jane Beauty,,Rich Rescue Phyto Mucin Cream,2,2,Saint Jane; Saint Jane Beauty,0.55,same product_name appears under multiple brands; brands=Saint Jane; Saint Jane Beauty
ulta_742be283a286bd,ulta,SUNDAY RILEY,,TIDAL Deep Hydration & Plumping Serum,2,2,SUNDAY RILEY; Sunday Riley,0.55,same product_name appears under multiple brands; brands=SUNDAY RILEY; Sunday Riley
ulta_80f2d38f206688,ulta,TATCHA,,The Essence Skincare Boosting Treatment,2,2,TATCHA; Tatcha,0.55,same product_name appears under multiple brands; brands=TATCHA; Tatcha
sephora_6a0eeb3ccc14e9,sephora,Tatcha,,The Essence Skincare Boosting Treatment,2,2,TATCHA; Tatcha,0.55,same product_name appears under multiple brands; brands=TATCHA; Tatcha
ulta_2ec3f2866b4432,ulta,TATCHA,,The Serum Stick Line-Smoothing Treatment & Touch Up Balm,2,2,TATCHA; Tatcha,0.55,same product_name appears under multiple brands; brands=TATCHA; Tatcha
sephora_841ecf1beb8b14,sephora,Tatcha,,The Serum Stick Line-Smoothing Treatment & Touch Up Balm,2,2,TATCHA; Tatcha,0.55,same product_name appears under multiple brands; brands=TATCHA; Tatcha
sephora_d3b673ddf4fb39,sephora,Sunday Riley,,Tidal Deep Hydration and Plumping Serum,2,2,SUNDAY RILEY; Sunday Riley,0.55,same product_name appears under multiple brands; brands=SUNDAY RILEY; Sunday Riley
ulta_282088891ae774,ulta,BOBBI BROWN,,Vitamin Enriched Eye Base Primer & Moisturizer with Hyaluronic Acid,2,2,BOBBI BROWN; Bobbi Brown,0.55,same product_name appears under multiple brands; brands=BOBBI BROWN; Bobbi Brown
sephora_15f814b8708774,sephora,Bobbi Brown,,Vitamin Enriched Eye Base Primer & Moisturizer with Hyaluronic Acid,2,2,BOBBI BROWN; Bobbi Brown,0.55,same product_name appears under multiple brands; brands=BOBBI BROWN; Bobbi Brown
ulta_526a99c83b269b,ulta,BOBBI BROWN,,Vitamin Enriched Smoothing Serum with Niacinamide + Vitamin C,2,2,BOBBI BROWN; Bobbi Brown,0.55,same product_name appears under multiple brands; brands=BOBBI BROWN; Bobbi Brown
sephora_5693f8a49e151b,sephora,Bobbi Brown,,Vitamin Enriched Smoothing Serum with Niacinamide + Vitamin C,2,2,BOBBI BROWN; Bobbi Brown,0.55,same product_name appears under multiple brands; brands=BOBBI BROWN; Bobbi Brown
