ingredient_id,paper_key,pmid,doi,title,journal,publication_date,publication_types,sources,evidence_tier,evidence_kind,relation_scope,applicability,primary_status,all_statuses,mapped_effect_ids,new_effect_candidates,directions,statistical_support,correction_flag,full_text_status,evidence_spans,status_scope,review_status,runtime_score_change,policy_version
caprylic_capric_triglyceride,PMID:37109405,37109405,10.3390/life13040876,Effect of an Emollient Emulsion Containing 15.0% of Caprylic/Capric Triglyceride on the Urocanic Acid of the Stratum Corneum.,"Life (Basel, Switzerland)",2023-03-25,Journal Article,crossref|pubmed,4,human_topical_observational_or_use_test,title_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,"The in vivo tests corroborated with the UCA data obtained ex vivo, since we found an increase in the superficial skin hydration with respective reduction of the TEWL, probably occurring by the occlusion performed by the emollient emulsion containing 15.0% w/w of caprylic/capric triglyceride.",machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
caprylic_capric_triglyceride,PMID:35025234,35025234,10.1021/acsabm.0c00280,Penetration of Zinc into Human Skin after Topical Application of Nano Zinc Oxide Used in Commercial Sunscreen Formulations.,ACS applied bio materials,2020-06-02,Journal Article,pubmed,5,ex_vivo_or_artificial_skin,abstract_exact,mechanistic,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
propanediol,PMID:34771112,34771112,10.3390/molecules26216704,Propanediol (and) Caprylic Acid (and) Xylitol as a New Single Topical Active Ingredient against Acne: In Vitro and In Vivo Efficacy Assays.,"Molecules (Basel, Switzerland)",2021-11-05,Journal Article,pubmed,4,human_topical_observational_or_use_test,title_exact,human_topical,abstract_insufficient,abstract_insufficient,,,,N,N,not_checked,Propanediol (and) Caprylic Acid (and) Xylitol as a New Single Topical Active Ingredient against Acne: In Vitro and In Vivo Efficacy Assays.,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
propanediol,PMID:19785605,19785605,10.1111/j.1365-2133.2009.09434.x,"Effects of topical treatment with the raft modulator miltefosine and clobetasol in cutaneous mastocytosis: a randomized, double-blind, placebo-controlled trial.",The British journal of dermatology,2009-08-03,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",pubmed,2,human_topical_rct,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
propanediol,PMID:12771381,12771381,10.1073/pnas.1230416100,"Glycerol replacement corrects defective skin hydration, elasticity, and barrier function in aquaporin-3-deficient mice.",Proceedings of the National Academy of Sciences of the United States of America,2003-05-27,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",pubmed,6,animal,abstract_exact,mechanistic,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
silica,PMID:21699089,21699089,,Skin penetration of silica microparticles.,Die Pharmazie,2011-Jun,"Journal Article; Research Support, Non-U.S. Gov't",pubmed,5,ex_vivo_or_artificial_skin,title_exact,mechanistic,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
silica,PMID:30081227,30081227,10.1016/j.ijpharm.2018.08.004,Mesoporous silica nanoparticles for enhanced lidocaine skin delivery.,International journal of pharmaceutics,2018-08-03,Journal Article,pubmed,5,ex_vivo_or_artificial_skin,title_exact,combination_or_formulation,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,Mesoporous silica nanoparticles for enhanced lidocaine skin delivery.,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
silica,DOI:10.1101/2023.09.27.559712,,10.1101/2023.09.27.559712,Dissolving microneedle array patches containing mesoporous silica nanoparticles of different pore sizes as a tunable sustained release platform,,2023-09-29,Preprint,europe_pmc,6,animal,title_exact,route_mismatch,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
sodium_chloride,PMID:33555974,33555974,10.1089/jop.2020.0121,Effectiveness of Pulmonary Surfactant in the Treatment of Corneal Edema.,Journal of ocular pharmacology and therapeutics : the official journal of the Association for Ocular Pharmacology and Therapeutics,2021-02-08,Comparative Study; Journal Article,pubmed,3,human_topical_clinical,abstract_exact,human_topical,abstract_insufficient,abstract_insufficient,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
sodium_chloride,DOI:10.22541/au.164607067.70886700/v1,,10.22541/au.164607067.70886700/v1,Efficacy of pentasodium diethylenetriamine pentaacetate in ameliorating anosmia post COVD-19,,2022-02-28,Preprint,europe_pmc,3,human_topical_clinical,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
sodium_chloride,PMID:17309996,17309996,10.1001/archderm.143.2.155,In vivo stimulation of de novo collagen production caused by cross-linked hyaluronic acid dermal filler injections in photodamaged human skin.,Archives of dermatology,2007-Feb,"Controlled Clinical Trial; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",pubmed,3,human_topical_clinical,abstract_exact,route_mismatch,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
sodium_hydroxide,PMID:12945021,12945021,10.1016/s1098-7339(03)00209-8,Topical amitriptyline in healthy volunteers.,Regional anesthesia and pain medicine,2003,"Clinical Trial; Journal Article; Randomized Controlled Trial; Research Support, U.S. Gov't, P.H.S.",pubmed,2,human_topical_rct,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
sodium_hydroxide,PMID:1981416,1981416,,Sodium hydroxide-induced subclinical irritation. A test for evaluating stratum corneum barrier function.,Acta dermato-venereologica,1990,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",pubmed,3,human_topical_clinical,title_exact,human_topical,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
sodium_hydroxide,PMID:39548668,39548668,10.12659/ajcr.945992,Diagnostic Challenges of Multiple Sporotrichoid Skin Lesions Caused by Mycobacterium marinum.,The American journal of case reports,2024-11-16,Case Reports; Journal Article,pubmed,4,human_topical_observational_or_use_test,abstract_exact,combination_or_formulation,formulation_only,formulation_only,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
water,DOI:10.1111/j.1600-0846.2007.00222.x,,10.1111/j.1600-0846.2007.00222.x,"Transepidermal water loss after photodynamic therapy, UVB radiation and topical corticosteroid is independent of inflammation",Skin Research and Technology,2007-05,journal-article,crossref,4,human_topical_observational_or_use_test,title_exact,human_topical,abstract_insufficient,abstract_insufficient,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
water,DOI:10.70675/b6ae10d8z5202z41e1z9d8cz96bfc99f41e0,,10.70675/b6ae10d8z5202z41e1z9d8cz96bfc99f41e0,Comparison of topical quercetin nanoformulations for skin protection,,2026-04-01,dissertation,crossref,7,in_vitro,unconfirmed,mechanistic,reject_wrong_scope,reject_wrong_scope,,,,N,N,not_checked,,machine_screening_only,candidate_unverified,none,mwbl-ingredient-evidence-adjudication-v1
