product_id,canonical_id,kept_ingredient_name,kept_display_order,source_row_count,source_ingredient_ids,source_ingredient_names,source_display_orders,source_concentration_texts,source_normalized_concentrations,concentration_policy
prod_oy_a000000246299,peptides,카퍼트라이펩타이드-1,52,2,ing_pending_2923850fc2fa; ing_pending_709f4e72c2ae,카퍼트라이펩타이드-1; 트라이펩타이드-1,52; 57,,,none
prod_oy_a000000246591,hyaluronic_acid,소듐하이알루로네이트,29,8,ing_pending_dc86714c6b9b; ing_pending_91a214fb54fa; ing_pending_699a72e62403; ing_pending_d5a75e7d8737; ing_pending_2a70c7167edc; ing_pending_1e416583864f; ing_pending_ebe20aa739f4; ing_pending_5830c0d1d488,소듐하이알루로네이트; 하이드록시프로필트라이모늄하이알루로네이트; 소듐아세틸레이티드하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드; 하이알루로닉애씨드; 소듐하이알루로네이트크로스폴리머; 하이드롤라이즈드소듐하이알루로네이트; 포타슘하이알루로네이트,29; 35; 39; 40; 41; 42; 43; 44,,,none
prod_oy_a000000246922,ceramides,세라마이드엔피,5,5,ing_pending_3db8a4dedc4c; ing_pending_ed4d1dc71a25; ing_pending_6faa7f194935; ing_pending_742cd15ac3e7; ing_pending_f1de7c712f85,세라마이드엔피; 세라마이드엔에스; 세라마이드에이에스; 세라마이드에이피; 세라마이드이오피,5; 6; 7; 8; 9,세라마이드엔피 55 ppm; 세라마이드엔에스 15 ppm; 세라마이드에이에스 5 ppm; 세라마이드에이피 5 ppm; 세라마이드이오피 0.01 ppm,0.0055 %; 0.0015 %; 0.0005 %; 0.000001 %,ambiguous_numeric_blank
prod_oy_a000000246922,cholesterol_fatty_acids,콜레스테롤,15,2,ing_pending_bf86770f3c63; ing_pending_8e5e6501448c,콜레스테롤; 스테아릭애씨드,15; 27,,,none
prod_oy_a000000247186,cholesterol_fatty_acids,리놀레닉애씨드,15,5,ing_pending_305a33c461d9; ing_pending_c2da1622e0c3; ing_pending_452a2c10432c; ing_pending_bf86770f3c63; ing_pending_8e5e6501448c,리놀레닉애씨드; 리놀레익애씨드; 올레익애씨드; 콜레스테롤; 스테아릭애씨드,15; 16; 17; 25; 55,,,none
prod_oy_a000000247186,ceramides,세라마이드엔피,21,6,ing_pending_3db8a4dedc4c; ing_pending_ed4d1dc71a25; ing_pending_dba85900153c; ing_pending_742cd15ac3e7; ing_pending_6faa7f194935; ing_pending_f1de7c712f85,세라마이드엔피; 세라마이드엔에스; 세라마이드엔지; 세라마이드에이피; 세라마이드에이에스; 세라마이드이오피,21; 31; 32; 33; 34; 35,,,none
prod_oy_a000000248401,hyaluronic_acid,소듐하이알루로네이트,19,8,ing_pending_dc86714c6b9b; ing_pending_91a214fb54fa; ing_pending_d5a75e7d8737; ing_pending_699a72e62403; ing_pending_2a70c7167edc; ing_pending_1e416583864f; ing_pending_ebe20aa739f4; ing_pending_5830c0d1d488,소듐하이알루로네이트; 하이드록시프로필트라이모늄하이알루로네이트; 하이드롤라이즈드하이알루로닉애씨드; 소듐아세틸레이티드하이알루로네이트; 하이알루로닉애씨드; 소듐하이알루로네이트크로스폴리머; 하이드롤라이즈드소듐하이알루로네이트; 포타슘하이알루로네이트,19; 36; 37; 38; 39; 40; 41; 42,,,none
prod_oy_a000000248509,cholesterol_fatty_acids,팔미틱애씨드,38,2,ing_pending_eef58792a781; ing_pending_8e5e6501448c,팔미틱애씨드; 스테아릭애씨드,38; 39,,,none
prod_oy_a000000248823,hyaluronic_acid,하이드롤라이즈드하이알루로닉애씨드,31,6,ing_pending_d5a75e7d8737; ing_pending_1e416583864f; ing_pending_dc86714c6b9b; ing_pending_91a214fb54fa; ing_pending_2a70c7167edc; ing_pending_699a72e62403,하이드롤라이즈드하이알루로닉애씨드; 소듐하이알루로네이트크로스폴리머; 소듐하이알루로네이트; 하이드록시프로필트라이모늄하이알루로네이트; 하이알루로닉애씨드; 소듐아세틸레이티드하이알루로네이트,31; 34; 50; 51; 52; 53,하이드롤라이즈드하이알루로닉애씨드 1ppm; 소듐하이알루로네이트크로스폴리머 0.1981ppm; 소듐하이알루로네이트 0.52ppb; 하이드록시프로필트라이모늄하이알루로네이트 0.012ppb; 하이알루로닉애씨드 0.001ppb; 소듐아세틸레이티드하이알루로네이트 0.0002ppb,0.0001 %; 0.00001981 %; 0.00000005 %; 0 %,ambiguous_numeric_blank
prod_oy_a000000249611,centella_asiatica,병풀잎추출물,20,2,ing_pending_04c695db8237; ing_pending_ae9fa1bd4d57,병풀잎추출물; 병풀추출물,20; 21,,,none
