alias,normalized_alias,previous_canonical_id,new_canonical_id,action,note
Hydroxypropylgluconamide,hydroxypropylgluconamide,,hydroxypropylgluconamide,added,공식 exact identity alias
Hydroxypropyltrimonium Lemon Protein,hydroxypropyltrimoniumlemonprotein,,hydroxypropyltrimonium_lemon_protein,added,공식 exact identity alias
Hypericum Perforatum Extract,hypericumperforatumextract,,hypericum_perforatum_extract,added,공식 exact identity alias
Inositol,inositol,,inositol,added,공식 exact identity alias
Isobutylamido Thiazolyl Resorcinol,isobutylamidothiazolylresorcinol,,isobutylamido_thiazolyl_resorcinol,added,공식 exact identity alias
Isomalt,isomalt,,isomalt,added,공식 exact identity alias
Isosorbide,isosorbide,,isosorbide,added,공식 exact identity alias
Jasminum Officinale (Jasmine) Extract,jasminumofficinale(jasmine)extract,,jasminum_officinale_jasmine_extract,added,공식 exact identity alias
Jasminum Officinale (Jasmine) Flower/Leaf Extract,jasminumofficinale(jasmine)flower/leafextract,,jasminum_officinale_jasmine_flower_leaf_extract,added,공식 exact identity alias
Jasminum Officinale (Jasmine) Oil,jasminumofficinale(jasmine)oil,,jasminum_officinale_jasmine_oil,added,공식 exact identity alias
Lactamide MEA,lactamidemea,,lactamide_mea,added,공식 exact identity alias
Lactitol,lactitol,,lactitol,added,공식 exact identity alias
Lactose,lactose,,lactose,added,공식 exact identity alias
Larix Europaea Wood Extract,larixeuropaeawoodextract,,larix_europaea_wood_extract,added,공식 exact identity alias
Laurdimonium Hydroxypropyl Hydrolyzed Barley Protein,laurdimoniumhydroxypropylhydrolyzedbarleyprotein,,laurdimonium_hydroxypropyl_hydrolyzed_barley_protein,added,공식 exact identity alias
Lauryl PCA,laurylpca,,lauryl_pca,added,공식 exact identity alias
Leontopodium Alpinum Callus Culture Extract,leontopodiumalpinumcalluscultureextract,,leontopodium_alpinum_callus_culture_extract,added,공식 exact identity alias
Leonurus Sibiricus Flower/Leaf/Stem Extract,leonurussibiricusflower/leaf/stemextract,,leonurus_sibiricus_flower_leaf_stem_extract,added,공식 exact identity alias
Leuconostoc Ferment Filtrate,leuconostocfermentfiltrate,,leuconostoc_ferment_filtrate,added,공식 exact identity alias
Magnesium Lactate,magnesiumlactate,,magnesium_lactate,added,공식 exact identity alias
Magnesium PCA,magnesiumpca,,magnesium_pca,added,공식 exact identity alias
Magnolol,magnolol,,magnolol,added,공식 exact identity alias
Maltitol,maltitol,,maltitol,added,공식 exact identity alias
Maltose,maltose,,maltose,added,공식 exact identity alias
Malva Sylvestris (Mallow) Extract,malvasylvestris(mallow)extract,,malva_sylvestris_mallow_extract,added,공식 exact identity alias
Manganese PCA,manganesepca,,manganese_pca,added,공식 exact identity alias
Mannose,mannose,,mannose,added,공식 exact identity alias
Melilotus Officinalis Extract,melilotusofficinalisextract,,melilotus_officinalis_extract,added,공식 exact identity alias
Menthyl PCA,menthylpca,,menthyl_pca,added,공식 exact identity alias
Mesembryanthemum Crystallinum Extract,mesembryanthemumcrystallinumextract,,mesembryanthemum_crystallinum_extract,added,공식 exact identity alias
Methyl Gluceth-10,methylgluceth-10,,methyl_gluceth_10,added,공식 exact identity alias
Methyl Gluceth-20,methylgluceth-20,,methyl_gluceth_20,added,공식 exact identity alias
Methyl Glucose Dioleate,methylglucosedioleate,,methyl_glucose_dioleate,added,공식 exact identity alias
Methylheptylglycerin,methylheptylglycerin,,methylheptylglycerin,added,공식 exact identity alias
Methyl Nicotinate,methylnicotinate,,methyl_nicotinate,added,공식 exact identity alias
Methyl Salicylate,methylsalicylate,,methyl_salicylate,added,공식 exact identity alias
Mimosa Tenuiflora Bark Extract,mimosatenuiflorabarkextract,,mimosa_tenuiflora_bark_extract,added,공식 exact identity alias
Mimosa Tenuiflora Leaf Extract,mimosatenuifloraleafextract,,mimosa_tenuiflora_leaf_extract,added,공식 exact identity alias
Morus Alba Root Extract,morusalbarootextract,,morus_alba_root_extract,added,공식 exact identity alias
Myrica Cerifera (Bayberry) Fruit Extract,myricacerifera(bayberry)fruitextract,,myrica_cerifera_bayberry_fruit_extract,added,공식 exact identity alias
Myrothamnus Flabellifolia Callus Culture Extract,myrothamnusflabellifoliacalluscultureextract,,myrothamnus_flabellifolia_callus_culture_extract,added,공식 exact identity alias
Myrothamnus Flabellifolia Leaf/Stem Extract,myrothamnusflabellifolialeaf/stemextract,,myrothamnus_flabellifolia_leaf_stem_extract,added,공식 exact identity alias
Nannochloropsis Oculata Extract,nannochloropsisoculataextract,,nannochloropsis_oculata_extract,added,공식 exact identity alias
Nelumbo Nucifera Callus Culture Extract,nelumbonuciferacalluscultureextract,,nelumbo_nucifera_callus_culture_extract,added,공식 exact identity alias
Octapeptide-4,octapeptide-4,,sh_octapeptide_4,added,공식 exact identity alias
Octyldodecyl Citrate Crosspolymer,octyldodecylcitratecrosspolymer,,octyldodecyl_citrate_crosspolymer,added,공식 exact identity alias
Oenocarpus Bataua Fruit Oil,oenocarpusbatauafruitoil,,oenocarpus_bataua_fruit_oil,added,공식 exact identity alias
Olea Europaea (Olive) Fruit Extract,oleaeuropaea(olive)fruitextract,,olea_europaea_olive_fruit_extract,added,공식 exact identity alias
Oligopeptide-68,oligopeptide-68,,oligopeptide_68,added,공식 exact identity alias
Oligopeptide-9,oligopeptide-9,,sh_oligopeptide_9,added,공식 exact identity alias
Olive Glycerides,oliveglycerides,,olive_glycerides,added,공식 exact identity alias
Ononis Spinosa Root Extract,ononisspinosarootextract,,ononis_spinosa_root_extract,added,공식 exact identity alias
Orchis Mascula Flower Extract,orchismasculaflowerextract,,orchis_mascula_flower_extract,added,공식 exact identity alias
Palmitoyl Palmitamide MEA,palmitoylpalmitamidemea,,palmitoyl_palmitamide_mea,added,공식 exact identity alias
Pancratium Maritimum Extract,pancratiummaritimumextract,,pancratium_maritimum_extract,added,공식 exact identity alias
Pantolactone,pantolactone,,pantolactone,added,공식 exact identity alias
Papaver Rhoeas Petal Extract,papaverrhoeaspetalextract,,papaver_rhoeas_petal_extract,added,공식 exact identity alias
Parietaria Officinalis Extract,parietariaofficinalisextract,,parietaria_officinalis_extract,added,공식 exact identity alias
Paulownia Tomentosa Leaf Extract,paulowniatomentosaleafextract,,paulownia_tomentosa_leaf_extract,added,공식 exact identity alias
PCA Ethyl Cocoyl Arginate,pcaethylcocoylarginate,,pca_ethyl_cocoyl_arginate,added,공식 exact identity alias
PEG-10,peg-10,,peg_10,added,공식 exact identity alias
PEG-12,peg-12,,peg_12,added,공식 exact identity alias
PEG-14,peg-14,,peg_14,added,공식 exact identity alias
PEG-150,peg-150,,peg_150,added,공식 exact identity alias
PEG-180,peg-180,,peg_180,added,공식 exact identity alias
PEG-20,peg-20,,peg_20,added,공식 exact identity alias
PEG-20 Stearate,peg-20stearate,,peg_20_stearate,added,공식 exact identity alias
PEG-32,peg-32,,peg_32,added,공식 exact identity alias
PEG-33,peg-33,,peg_33,added,공식 exact identity alias
PEG-4,peg-4,,peg_4,added,공식 exact identity alias
PEG-40,peg-40,,peg_40,added,공식 exact identity alias
PEG-45M,peg-45m,,peg_45m,added,공식 exact identity alias
PEG-6,peg-6,,peg_6,added,공식 exact identity alias
PEG-60,peg-60,,peg_60,added,공식 exact identity alias
PEG-75,peg-75,,peg_75,added,공식 exact identity alias
PEG-7 Amodimethicone,peg-7amodimethicone,,peg_7_amodimethicone,added,공식 exact identity alias
PEG-8 Stearate,peg-8stearate,,peg_8_stearate,added,공식 exact identity alias
PEG-9,peg-9,,peg_9,added,공식 exact identity alias
PEG-90,peg-90,,peg_90,added,공식 exact identity alias
PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin,peg/ppg/polybutyleneglycol-8/5/3glycerin,,peg_ppg_polybutylene_glycol_8_5_3_glycerin,added,공식 exact identity alias
Persea Gratissima (Avocado) Fruit Extract,perseagratissima(avocado)fruitextract,,persea_gratissima_avocado_fruit_extract,added,공식 exact identity alias
Pfaffia Paniculata Root Extract,pfaffiapaniculatarootextract,,pfaffia_paniculata_root_extract,added,공식 exact identity alias
Phaeodactylum Tricornutum Extract,phaeodactylumtricornutumextract,,phaeodactylum_tricornutum_extract,added,공식 exact identity alias
Phalaenopsis Amabilis Extract,phalaenopsisamabilisextract,,phalaenopsis_amabilis_extract,added,공식 exact identity alias
Phaseolus Radiatus Sprout Extract,phaseolusradiatussproutextract,,phaseolus_radiatus_sprout_extract,added,공식 exact identity alias
Phoenix Dactylifera (Date) Seed Extract,phoenixdactylifera(date)seedextract,,phoenix_dactylifera_date_seed_extract,added,공식 exact identity alias
Phyllanthus Emblica Fruit Extract,phyllanthusemblicafruitextract,,phyllanthus_emblica_fruit_extract,added,공식 exact identity alias
Phytantriol,phytantriol,,phytantriol,added,공식 exact identity alias
Pichia Ferment Lysate Filtrate,pichiafermentlysatefiltrate,,pichia_ferment_lysate_filtrate,added,공식 exact identity alias
Pinus Pinaster Bark/Bud Extract,pinuspinasterbark/budextract,,pinus_pinaster_bark_bud_extract,added,공식 exact identity alias
Piroctone Olamine,piroctoneolamine,,piroctone_olamine,added,공식 exact identity alias
Platonia Insignis Seed Butter,platoniainsignisseedbutter,,platonia_insignis_seed_butter,added,공식 exact identity alias
Plukenetia Volubilis Seed Oil,plukenetiavolubilisseedoil,,plukenetia_volubilis_seed_oil,added,공식 exact identity alias
Pogostemon Cablin Leaf/Stem Extract,pogostemoncablinleaf/stemextract,,pogostemon_cablin_leaf_stem_extract,added,공식 exact identity alias
Polycitronellol,polycitronellol,,polycitronellol,added,공식 exact identity alias
Polycitronellol Acetate,polycitronellolacetate,,polycitronellol_acetate,added,공식 exact identity alias
Polydextrose,polydextrose,,polydextrose,added,공식 exact identity alias
Polyglycerin-10,polyglycerin-10,,polyglycerin_10,added,공식 exact identity alias
Polyglycerin-4,polyglycerin-4,,polyglycerin_4,added,공식 exact identity alias
Polyglycerin-6,polyglycerin-6,,polyglycerin_6,added,공식 exact identity alias
Polypodium Vulgare Rhizome Extract,polypodiumvulgarerhizomeextract,,polypodium_vulgare_rhizome_extract,added,공식 exact identity alias
Potassium Lactate,potassiumlactate,,potassium_lactate,added,공식 exact identity alias
Potassium Methoxysalicylate,potassiummethoxysalicylate,,potassium_methoxysalicylate,added,공식 exact identity alias
Potassium Nitrate,potassiumnitrate,,potassium_nitrate,added,공식 exact identity alias
Potassium PCA,potassiumpca,,potassium_pca,added,공식 exact identity alias
Propanediol Caprylate,propanediolcaprylate,,propanediol_caprylate,added,공식 exact identity alias
Prunus Armeniaca (Apricot) Juice,prunusarmeniaca(apricot)juice,,prunus_armeniaca_apricot_juice,added,공식 exact identity alias
Prunus Domestica Fruit Extract,prunusdomesticafruitextract,,prunus_domestica_fruit_extract,added,공식 exact identity alias
Prunus Mume Fruit Extract,prunusmumefruitextract,,prunus_mume_fruit_extract,added,공식 exact identity alias
Prunus Persica (Peach) Flower Extract,prunuspersica(peach)flowerextract,,prunus_persica_peach_flower_extract,added,공식 exact identity alias
Prunus Persica (Peach) Fruit Extract,prunuspersica(peach)fruitextract,,prunus_persica_peach_fruit_extract,added,공식 exact identity alias
