source,ingredient_id,name_en,search_query,raw_hit_count,returned_count,request_status,error_message,pipeline_version
crossref,curcuma_longa_turmeric_root_extract,Curcuma Longa (Turmeric) Root Extract,"""curcuma longa turmeric root extract"" skin topical",838881,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cyanocobalamin,Cyanocobalamin,"""Cyanocobalamin"" skin topical",440201,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cyclohexasiloxane,Cyclohexasiloxane,"""Cyclohexasiloxane"" skin topical",439401,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cyclopentasiloxane,Cyclopentasiloxane,"""Cyclopentasiloxane"" skin topical",439414,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,cysteine,Cysteine,"""Cysteine"" skin topical",474258,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,daucus_carota_sativa_carrot_root_extract,Daucus Carota Sativa (Carrot) Root Extract,"""daucus carota sativa carrot root extract"" skin topical",880238,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,decyl_glucoside,Decyl Glucoside,"""Decyl Glucoside"" skin topical",446088,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,dehydroacetic_acid,Dehydroacetic Acid,"""Dehydroacetic Acid"" skin topical",1638415,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,dextrin,Dextrin,"""Dextrin"" skin topical",440517,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,dibutyl_adipate,Dibutyl Adipate,"""Dibutyl Adipate"" skin topical",444628,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,dicaprylyl_carbonate,Dicaprylyl Carbonate,"""Dicaprylyl Carbonate"" skin topical",522731,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,diethylamino_hydroxybenzoyl_hexyl_benzoate,Diethylamino Hydroxybenzoyl Hexyl Benzoate,"""Diethylamino Hydroxybenzoyl Hexyl Benzoate"" skin topical",453160,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,diglycerin,Diglycerin,"""Diglycerin"" skin topical",439406,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,diisopropyl_sebacate,Diisopropyl Sebacate,"""Diisopropyl Sebacate"" skin topical",442000,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,diisostearyl_malate,Diisostearyl Malate,"""Diisostearyl Malate"" skin topical",444681,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,dimethicone,Dimethicone,"""Dimethicone"" skin topical",439551,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,dimethicone_crosspolymer,Dimethicone Crosspolymer,"""Dimethicone Crosspolymer"" skin topical",439574,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,dimethicone_peg_10_15_crosspolymer,Dimethicone/PEG-10/15 Crosspolymer,"""dimethicone peg 10 15 crosspolymer"" skin topical",9979677,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,dimethicone_vinyl_dimethicone_crosspolymer,Dimethicone/Vinyl Dimethicone Crosspolymer,"""dimethicone vinyl dimethicone crosspolymer"" skin topical",508439,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,dimethiconol,Dimethiconol,"""Dimethiconol"" skin topical",439414,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,dimethyl_isosorbide,Dimethyl Isosorbide,"""Dimethyl Isosorbide"" skin topical",508254,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,diphenylsiloxy_phenyl_trimethicone,Diphenylsiloxy Phenyl Trimethicone,"""Diphenylsiloxy Phenyl Trimethicone"" skin topical",504799,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,dipotassium_glycyrrhizate,Dipotassium Glycyrrhizate,"""Dipotassium Glycyrrhizate"" skin topical",440289,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,dipropylene_glycol,Dipropylene Glycol,"""Dipropylene Glycol"" skin topical",488505,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,disodium_cocoamphodiacetate,Disodium Cocoamphodiacetate,"""Disodium Cocoamphodiacetate"" skin topical",443650,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,disodium_edta,Disodium EDTA,"""Disodium EDTA"" skin topical",454735,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,disodium_laureth_sulfosuccinate,Disodium Laureth Sulfosuccinate,"""Disodium Laureth Sulfosuccinate"" skin topical",444257,25,ok,,mwbl-ingredient-multisource-discovery-v1
crossref,disodium_phosphate,Disodium Phosphate,"""Disodium Phosphate"" skin topical",599585,25,ok,,mwbl-ingredient-multisource-discovery-v1
