portfolio_rank,ingredient_id,name_ko,name_en,effect_id,effect_name,current_runtime,current_effect_score,best_evidence_tier,best_relation_scope,best_applicability,best_pmid,signal_strength,score_basis,proposed_effect_score,scientific_evidence_score,runtime_score_eligible,counterfactual_score_eligible_after_review,score_exclusion_reason,review_status,activation_status
22,centella_asiatica,센텔라/병풀,Centella Asiatica Extracts,effect_calming,진정,Y,60,,,,,current,existing_runtime_unchanged,60.00,,Y,N,,existing_runtime,active_existing
22,centella_asiatica,센텔라/병풀,Centella Asiatica Extracts,effect_moisture_barrier,보습·장벽,Y,44,,,,,current,existing_runtime_unchanged,44.00,,Y,N,,existing_runtime,active_existing
22,centella_asiatica,센텔라/병풀,Centella Asiatica Extracts,effect_wrinkle,주름·탄력,Y,44,,,,,current,existing_runtime_unchanged,44.00,,Y,N,,existing_runtime,active_existing
23,urea,유레아,Urea,effect_calming,진정,Y,37,,,,,current,existing_runtime_unchanged,37.00,,Y,N,,existing_runtime,active_existing
23,urea,유레아,Urea,effect_exfoliation,각질,Y,52,,,,,current,existing_runtime_unchanged,52.00,,Y,N,,existing_runtime,active_existing
23,urea,유레아,Urea,effect_moisture_barrier,보습·장벽,Y,66,,,,,current,existing_runtime_unchanged,66.00,,Y,N,,existing_runtime,active_existing
24,glutathione,글루타티온,Glutathione,effect_brightening,미백·톤,Y,50,,,,,current,existing_runtime_unchanged,50.00,,Y,N,,existing_runtime,active_existing
25,retinol,레티놀,Retinol,effect_acne_sebum,여드름·피지,Y,40,,,,,current,existing_runtime_unchanged,40.00,,Y,N,,existing_runtime,active_existing
25,retinol,레티놀,Retinol,effect_brightening,미백·톤,Y,48,,,,,current,existing_runtime_unchanged,48.00,,Y,N,,existing_runtime,active_existing
25,retinol,레티놀,Retinol,effect_exfoliation,각질,Y,50,,,,,current,existing_runtime_unchanged,50.00,,Y,N,,existing_runtime,active_existing
25,retinol,레티놀,Retinol,effect_wrinkle,주름·탄력,Y,70,,,,,current,existing_runtime_unchanged,70.00,,Y,N,,existing_runtime,active_existing
26,zinc_pca,징크PCA,Zinc PCA,effect_acne_sebum,여드름·피지,Y,48,,,,,current,existing_runtime_unchanged,48.00,,Y,N,,existing_runtime,active_existing
26,zinc_pca,징크PCA,Zinc PCA,effect_moisture_barrier,보습·장벽,Y,32,,,,,current,existing_runtime_unchanged,32.00,,Y,N,,existing_runtime,active_existing
27,licorice_extract,감초추출물,Licorice Extract,effect_brightening,미백·톤,Y,55,,,,,current,existing_runtime_unchanged,55.00,,Y,N,,existing_runtime,active_existing
27,licorice_extract,감초추출물,Licorice Extract,effect_calming,진정,Y,42,,,,,current,existing_runtime_unchanged,42.00,,Y,N,,existing_runtime,active_existing
28,petrolatum_mineral_oil,페트롤라툼/미네랄오일,Petrolatum / Mineral Oil,effect_calming,진정,Y,37,,,,,current,existing_runtime_unchanged,37.00,,Y,N,,existing_runtime,active_existing
28,petrolatum_mineral_oil,페트롤라툼/미네랄오일,Petrolatum / Mineral Oil,effect_moisture_barrier,보습·장벽,Y,72,,,,,current,existing_runtime_unchanged,72.00,,Y,N,,existing_runtime,active_existing
29,tranexamic_acid,트라넥사믹애씨드,Tranexamic Acid,effect_brightening,미백·톤,Y,65,,,,,current,existing_runtime_unchanged,65.00,,Y,N,,existing_runtime,active_existing
30,colloidal_oatmeal,콜로이달오트밀,Colloidal Oatmeal,effect_calming,진정,Y,58,,,,,current,existing_runtime_unchanged,58.00,,Y,N,,existing_runtime,active_existing
