ingredient_rank,ingredient_id,name_ko,name_en,product_count,search_terms,search_query,raw_pubmed_hit_count,selected_paper_count,catalog_status,review_status,score_change,searched_on,pipeline_version
11,linalool,리날룰,Linalool,16306,Linalool,"(""Linalool""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",48,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
12,sodium_benzoate,소듐벤조에이트,Sodium Benzoate,14591,Sodium Benzoate,"(""Sodium Benzoate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",48,2,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
13,potassium_sorbate,포타슘솔베이트,Potassium Sorbate,14077,Potassium Sorbate,"(""Potassium Sorbate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",32,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
14,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol",13987,"1,2-Hexanediol|1 2 hexanediol","(""1,2-Hexanediol""[Title/Abstract] OR ""1 2 hexanediol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",24,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
15,disodium_edta,다이소듐이디티에이,Disodium EDTA,13862,Disodium EDTA,"(""Disodium EDTA""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",17,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
16,xanthan_gum,잔탄검,Xanthan Gum,13776,Xanthan Gum,"(""Xanthan Gum""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
17,tocopheryl_acetate,토코페릴아세테이트,Tocopheryl Acetate,13298,Tocopheryl Acetate,"(""Tocopheryl Acetate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
18,caprylic_capric_triglyceride,카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,13261,Caprylic/Capric Triglyceride|caprylic capric triglyceride,"(""Caprylic/Capric Triglyceride""[Title/Abstract] OR ""caprylic capric triglyceride""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",25,2,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
19,propanediol,프로판다이올,Propanediol,12794,Propanediol,"(""Propanediol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
20,panthenol,판테놀,Panthenol,12738,Panthenol|Provitamin B5,"(""Panthenol""[Title/Abstract] OR ""Provitamin B5""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,2,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
21,silica,실리카,Silica,12318,Silica,"(""Silica""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
22,sodium_chloride,소듐클로라이드,Sodium Chloride,11564,Sodium Chloride,"(""Sodium Chloride""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
23,sodium_hydroxide,소듐하이드록사이드,Sodium Hydroxide,10880,Sodium Hydroxide,"(""Sodium Hydroxide""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",49,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
24,niacinamide,나이아신아마이드,Niacinamide,10393,Niacinamide|Nicotinamide|Vitamin B3,"(""Niacinamide""[Title/Abstract] OR ""Nicotinamide""[Title/Abstract] OR ""Vitamin B3""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",49,3,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
25,water,정제수,Water,10377,,,0,0,ambiguous_search_name,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
26,pentylene_glycol,펜틸렌글라이콜,Pentylene Glycol,9887,Pentylene Glycol,"(""Pentylene Glycol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",20,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
27,alcohol,에탄올,Alcohol,9165,,,0,0,ambiguous_search_name,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
28,disteardimonium_hectorite,다이스테아다이모늄헥토라이트,Disteardimonium Hectorite,8426,Disteardimonium Hectorite,"(""Disteardimonium Hectorite""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",1,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
29,citronellol,시트로넬올,Citronellol,8409,Citronellol,"(""Citronellol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",49,2,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
30,mica,마이카,Mica,8184,Mica,"(""Mica""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",48,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
31,cetearyl_alcohol,세테아릴알코올,Cetearyl Alcohol,8000,Cetearyl Alcohol,"(""Cetearyl Alcohol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",27,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
32,carbomer,카보머,Carbomer,7987,Carbomer,"(""Carbomer""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,2,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
33,geraniol,제라니올,Geraniol,7955,Geraniol,"(""Geraniol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",49,3,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
34,squalane,스쿠알란,Squalane,7887,Squalane,"(""Squalane""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",42,3,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
35,aluminum_hydroxide,알루미늄하이드록사이드,Aluminum Hydroxide,7465,Aluminum Hydroxide,"(""Aluminum Hydroxide""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",49,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
37,cholesterol_fatty_acids,콜레스테롤/지방산,Cholesterol / Fatty Acids,7056,Cholesterol / Fatty Acids|Behenic Acid|cholesterol fatty acids,"(""Cholesterol / Fatty Acids""[Title/Abstract] OR ""Behenic Acid""[Title/Abstract] OR ""cholesterol fatty acids""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",48,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
39,triethoxycaprylylsilane,트라이에톡시카프릴릴실레인,Triethoxycaprylylsilane,7011,Triethoxycaprylylsilane,"(""Triethoxycaprylylsilane""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",2,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
40,glyceryl_stearate,글리세릴스테아레이트,Glyceryl Stearate,6922,Glyceryl Stearate,"(""Glyceryl Stearate""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",22,0,no_useful_paper_found,not_found,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
41,dipropylene_glycol,다이프로필렌글라이콜,Dipropylene Glycol,6761,Dipropylene Glycol,"(""Dipropylene Glycol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",37,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
42,fragrance_perfume_parfum,향료,Fragrance|Perfume|Parfum,6642,Perfume|Fragrance|Perfume|Parfum|fragrance perfume parfum,"(""Perfume""[Title/Abstract] OR ""Fragrance|Perfume|Parfum""[Title/Abstract] OR ""fragrance perfume parfum""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",50,2,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
43,hydrogenated_lecithin,하이드로제네이티드레시틴,Hydrogenated Lecithin,6561,Hydrogenated Lecithin,"(""Hydrogenated Lecithin""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",19,1,papers_selected,candidate_unverified,none,2026-07-12,mwbl-ingredient-first-paper-catalog-v2-role-preserving
