fetched_on,source_url,inci_name,functions_json,restrictions_json,sccs_opinions_json,substance_ids_json
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,AVENA SATIVA KERNEL EXTRACT,"[""ABRASIVE"", ""ANTIOXIDANT"", ""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""74463""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BAKUCHIOL,"[""ANTIMICROBIAL"", ""ANTIOXIDANT"", ""SKIN CONDITIONING"", ""SKIN CONDITIONING - EMOLLIENT""]",[],[],"[""32053""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BARIUM SULFATE,"[""COLORANT"", ""OPACIFYING""]","[""IV/122""]",[],"[""32059""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BEHENTRIMONIUM CHLORIDE,"[""ANTISTATIC"", ""HAIR CONDITIONING"", ""PRESERVATIVE""]","[""V/44""]","[""Opinion on Alkyl (C16, C18, C22) trimethylammonium chloride - For other uses than as a preservative""]","[""32112""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BEHENTRIMONIUM METHOSULFATE,"[""ANTISTATIC"", ""HAIR CONDITIONING"", ""SURFACTANT - CLEANSING""]",[],[],"[""74588""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BEHENYL ALCOHOL,"[""BINDING"", ""EMULSION STABILISING"", ""SKIN CONDITIONING - EMOLLIENT"", ""VISCOSITY CONTROLLING""]",[],[],"[""74589""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BENZOIC ACID,"[""FRAGRANCE"", ""PRESERVATIVE"", ""pH ADJUSTERS""]","[""V/1""]",[],"[""32134""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BENZOPHENONE-4,"[""LIGHT STABILIZER"", ""UV ABSORBER"", ""UV FILTER""]","[""VI/22""]",[],"[""32143""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BENZYL ALCOHOL,"[""PERFUMING"", ""PRESERVATIVE"", ""SOLVENT"", ""VISCOSITY CONTROLLING""]","[""III/45 and\r\nV/34""]",[],"[""32153""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BENZYL BENZOATE,"[""ANTIMICROBIAL"", ""PERFUMING"", ""SOLVENT""]","[""III/85""]",[],"[""32154""]"
2026-07-12,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,BENZYL SALICYLATE,"[""LIGHT STABILIZER"", ""PERFUMING""]","[""III/75""]",[],"[""32159""]"
